0.05	28.980211155129233
0.075	23.563645356292955
0.1	20.337120172869096
0.125	18.123492368356853
0.15	16.488090549875345
0.175	15.211340590903195
0.2	14.18349696642476
0.225	13.328339092135147
0.25	12.603853728871382
0.275	12.007720507315778
0.3	11.602776316593928
0.325	11.208214884174046
0.35	10.823487942378199
0.375	10.448087066895738
0.4	10.081544410270311
0.425	9.723423128398721
0.45	9.373322026629118
0.475	9.030862991215514
0.5	8.695697407976219
0.525	8.367499601772801
0.55	8.04954485629964
0.575	7.73421904553375
0.6	7.425006836502118
0.625	7.121657211204951
0.65	6.82393439388731
0.675	6.531616577095573
0.7	6.2444949632627385
0.725	5.962372647892464
0.75	5.685063678300394
0.775	5.412392724023305
0.8	5.14419333979063
0.825	4.880308103798861
0.85	4.620587610947464
0.875	4.364889834438188
0.9	4.113079210370296
0.925	3.86502586934383
0.95	3.620603192203178
0.975	3.3796821491212796
1.	3.142000046554536
