#U[V]	I[A]	P_svetlobe [mW]
23	0.0429	0.54
37.8	0.0534	0.63
60.8	0.0676	0.86
79.5	0.0776	1.13
95.2	0.0853	1.38
108.4	0.0915	1.7
123.8	0.0983	2.03
136.1	0.1031	2.33
148	0.1081	2.64
161.3	0.1132	3
175.2	0.1182	3.38
182.5	0.1208	3.59
192.5	0.1242	3.9
203.8	0.1281	4.29
214.1	0.1317	4.62
223.2	0.1345	4.9
