Total counts: 174402
Active taps: 164
Average width: 17.42 ps
Temperature: 60.5 °C

Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
1	2341	0.013423	38.35	19.18	1.2014	1.201
2	2815	0.0161409	46.12	61.41	1.6471	2.848
3	2790	0.0159975	45.71	107.32	1.6236	4.472
4	2636	0.0151145	43.18	151.77	1.4788	5.951
5	211	0.00120985	3.46	175.09	-0.8016	5.149
6	2173	0.0124597	35.60	194.62	1.0434	6.193
7	203	0.00116398	3.33	214.08	-0.8091	5.384
8	895	0.00513182	14.66	223.07	-0.1584	5.225
9	883	0.00506302	14.47	237.64	-0.1697	5.056
10	1610	0.00923155	26.38	258.06	0.5140	5.569
11	241	0.00138186	3.95	273.22	-0.7734	4.796
12	2647	0.0151776	43.36	296.88	1.4891	6.285
13	136	0.000779808	2.23	319.67	-0.8721	5.413
14	1355	0.00776941	22.20	331.89	0.2742	5.687
15	504	0.00288988	8.26	347.11	-0.5261	5.161
16	216	0.00123852	3.54	353.01	-0.7969	4.364
17	42	0.000240823	0.69	355.12	-0.9605	3.404
18	1713	0.00982214	28.06	369.50	0.6108	4.015
19	26	0.000149081	0.43	383.74	-0.9756	3.039
20	4382	0.0251259	71.79	419.85	3.1206	6.160
21	823	0.00471898	13.48	462.49	-0.2261	5.934
22	1386	0.00794716	22.71	480.58	0.3033	6.237
23	624	0.00357794	10.22	497.05	-0.4132	5.824
24	1823	0.0104529	29.87	517.09	0.7143	6.538
25	176	0.00100916	2.88	533.46	-0.8345	5.704
26	1733	0.00993681	28.39	549.10	0.6296	6.333
27	193	0.00110664	3.16	564.88	-0.8185	5.515
28	2178	0.0124884	35.68	584.30	1.0481	6.563
29	41	0.000235089	0.67	602.48	-0.9614	5.601
30	1983	0.0113703	32.49	619.05	0.8647	6.466
31	318	0.00182337	5.21	637.90	-0.7010	5.765
32	1417	0.00812491	23.21	652.11	0.3325	6.098
33	36	0.00020642	0.59	664.02	-0.9661	5.131
34	2562	0.0146902	41.97	685.30	1.4092	6.541
35	132	0.000756872	2.16	707.36	-0.8759	5.665
36	3179	0.018228	52.08	734.49	1.9894	7.654
37	205	0.00117545	3.36	762.20	-0.8072	6.847
38	139	0.000797009	2.28	765.02	-0.8693	5.978
39	55	0.000315363	0.90	766.61	-0.9483	5.029
40	1465	0.00840013	24.00	779.06	0.3776	5.407
41	504	0.00288988	8.26	795.19	-0.5261	4.881
42	67	0.00038417	1.10	799.87	-0.9370	3.944
