START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -20 ms
To: 20 ms
START counts: 7339
STOP counts: 6195
Time intervals: 12303
Elapsed time: 30.0 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-20	0	0
-19.8	0	0
-19.6	3	0.00121921
-19.4	2	0.00081281
-19.2	3	0.00121921
-19	0	0
-18.8	2	0.00081281
-18.6	1	0.000406405
-18.4	2	0.00081281
-18.2	1	0.000406405
-18	2	0.00081281
-17.8	3	0.00121921
-17.6	2	0.00081281
-17.4	2	0.00081281
-17.2	3	0.00121921
-17	5	0.00203202
-16.8	3	0.00121921
-16.6	2	0.00081281
-16.4	7	0.00284483
-16.2	5	0.00203202
-16	1	0.000406405
-15.8	4	0.00162562
-15.6	9	0.00365764
-15.4	9	0.00365764
-15.2	5	0.00203202
-15	8	0.00325124
-14.8	6	0.00243843
-14.6	11	0.00447045
-14.4	7	0.00284483
-14.2	13	0.00528326
-14	10	0.00406405
-13.8	4	0.00162562
-13.6	12	0.00487686
-13.4	10	0.00406405
-13.2	10	0.00406405
-13	6	0.00243843
-12.8	11	0.00447045
-12.6	19	0.00772169
-12.4	12	0.00487686
-12.2	14	0.00568967
-12	10	0.00406405
-11.8	13	0.00528326
-11.6	14	0.00568967
-11.4	17	0.00690888
-11.2	15	0.00609607
-11	18	0.00731529
-10.8	19	0.00772169
-10.6	25	0.0101601
-10.4	20	0.0081281
-10.2	13	0.00528326
-10	21	0.0085345
-9.8	22	0.00894091
-9.6	25	0.0101601
-9.4	26	0.0105665
-9.2	33	0.0134114
-9	37	0.015037
-8.8	38	0.0154434
-8.6	26	0.0105665
-8.4	29	0.0117857
-8.2	44	0.0178818
-8	44	0.0178818
-7.8	40	0.0162562
-7.6	45	0.0182882
-7.4	46	0.0186946
-7.2	55	0.0223523
-7	55	0.0223523
-6.8	58	0.0235715
-6.6	56	0.0227587
-6.4	60	0.0243843
-6.2	52	0.0211331
-6	62	0.0251971
-5.8	83	0.0337316
-5.6	80	0.0325124
-5.4	72	0.0292612
-5.2	92	0.0373893
-5	101	0.0410469
-4.8	114	0.0463302
-4.6	106	0.0430789
-4.4	89	0.03617
-4.2	99	0.0402341
-4	116	0.047143
-3.8	132	0.0536455
-3.6	126	0.051207
-3.4	121	0.049175
-3.2	122	0.0495814
-3	164	0.0666504
-2.8	164	0.0666504
-2.6	144	0.0585223
-2.4	194	0.0788426
-2.2	208	0.0845322
-2	226	0.0918475
-1.8	185	0.0751849
-1.6	198	0.0804682
-1.4	232	0.0942859
-1.2	224	0.0910347
-1	263	0.106884
-0.8	255	0.103633
-0.6	265	0.107697
-0.4	288	0.117045
-0.2	421	0.171096
0	1226	0.498252
0.2	241	0.0979436
0.4	245	0.0995692
0.6	217	0.0881899
0.8	224	0.0910347
1	204	0.0829066
1.2	180	0.0731529
1.4	176	0.0715273
1.6	173	0.0703081
1.8	186	0.0755913
2	148	0.0601479
2.2	148	0.0601479
2.4	144	0.0585223
2.6	146	0.0593351
2.8	131	0.053239
3	122	0.0495814
3.2	93	0.0377957
3.4	125	0.0508006
3.6	87	0.0353572
3.8	79	0.032106
4	93	0.0377957
4.2	73	0.0296676
4.4	76	0.0308868
4.6	93	0.0377957
4.8	77	0.0312932
5	80	0.0325124
5.2	74	0.030074
5.4	74	0.030074
5.6	46	0.0186946
5.8	59	0.0239779
6	60	0.0243843
6.2	64	0.0260099
6.4	59	0.0239779
6.6	57	0.0231651
6.8	38	0.0154434
7	34	0.0138178
7.2	50	0.0203202
7.4	45	0.0182882
7.6	36	0.0146306
7.8	36	0.0146306
8	41	0.0166626
8.2	28	0.0113793
8.4	36	0.0146306
8.6	21	0.0085345
8.8	38	0.0154434
9	26	0.0105665
9.2	26	0.0105665
9.4	22	0.00894091
9.6	25	0.0101601
9.8	22	0.00894091
10	24	0.00975372
10.2	14	0.00568967
10.4	19	0.00772169
10.6	22	0.00894091
10.8	21	0.0085345
11	10	0.00406405
11.2	11	0.00447045
11.4	14	0.00568967
11.6	10	0.00406405
11.8	13	0.00528326
12	8	0.00325124
12.2	11	0.00447045
12.4	9	0.00365764
12.6	16	0.00650248
12.8	6	0.00243843
13	9	0.00365764
13.2	9	0.00365764
13.4	7	0.00284483
13.6	9	0.00365764
13.8	6	0.00243843
14	8	0.00325124
14.2	3	0.00121921
14.4	5	0.00203202
14.6	7	0.00284483
14.8	3	0.00121921
15	12	0.00487686
15.2	7	0.00284483
15.4	4	0.00162562
15.6	1	0.000406405
15.8	1	0.000406405
16	4	0.00162562
16.2	4	0.00162562
16.4	3	0.00121921
16.6	4	0.00162562
16.8	2	0.00081281
17	1	0.000406405
17.2	3	0.00121921
17.4	6	0.00243843
17.6	2	0.00081281
17.8	3	0.00121921
18	0	0
18.2	0	0
18.4	0	0
18.6	3	0.00121921
18.8	2	0.00081281
19	1	0.000406405
19.2	2	0.00081281
19.4	3	0.00121921
19.6	3	0.00121921
19.8	3	0.00121921
