START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 4246
STOP counts: 3004
Time intervals: 6004
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	0	0
-47.52	0	0
-47.04	0	0
-46.56	0	0
-46.08	0	0
-45.6	0	0
-45.12	0	0
-44.64	0	0
-44.16	0	0
-43.68	0	0
-43.2	0	0
-42.72	0	0
-42.24	1	0.000346991
-41.76	3	0.00104097
-41.28	0	0
-40.8	1	0.000346991
-40.32	0	0
-39.84	1	0.000346991
-39.36	0	0
-38.88	0	0
-38.4	0	0
-37.92	1	0.000346991
-37.44	0	0
-36.96	0	0
-36.48	0	0
-36	2	0.000693982
-35.52	1	0.000346991
-35.04	0	0
-34.56	3	0.00104097
-34.08	0	0
-33.6	6	0.00208195
-33.12	4	0.00138796
-32.64	1	0.000346991
-32.16	1	0.000346991
-31.68	2	0.000693982
-31.2	2	0.000693982
-30.72	3	0.00104097
-30.24	3	0.00104097
-29.76	1	0.000346991
-29.28	4	0.00138796
-28.8	6	0.00208195
-28.32	3	0.00104097
-27.84	3	0.00104097
-27.36	11	0.0038169
-26.88	2	0.000693982
-26.4	7	0.00242894
-25.92	10	0.00346991
-25.44	6	0.00208195
-24.96	6	0.00208195
-24.48	7	0.00242894
-24	7	0.00242894
-23.52	5	0.00173495
-23.04	13	0.00451088
-22.56	6	0.00208195
-22.08	7	0.00242894
-21.6	17	0.00589885
-21.12	4	0.00138796
-20.64	10	0.00346991
-20.16	13	0.00451088
-19.68	17	0.00589885
-19.2	10	0.00346991
-18.72	10	0.00346991
-18.24	21	0.00728681
-17.76	20	0.00693982
-17.28	10	0.00346991
-16.8	19	0.00659283
-16.32	25	0.00867477
-15.84	13	0.00451088
-15.36	24	0.00832778
-14.88	38	0.0131857
-14.4	21	0.00728681
-13.92	38	0.0131857
-13.44	30	0.0104097
-12.96	32	0.0111037
-12.48	35	0.0121447
-12	37	0.0128387
-11.52	47	0.0163086
-11.04	44	0.0152676
-10.56	51	0.0176965
-10.08	55	0.0190845
-9.6	41	0.0142266
-9.12	58	0.0201255
-8.64	56	0.0194315
-8.16	59	0.0204725
-7.68	75	0.0260243
-7.2	67	0.0232484
-6.72	70	0.0242894
-6.24	82	0.0284533
-5.76	79	0.0274123
-5.28	127	0.0440678
-4.8	118	0.0409449
-4.32	112	0.038863
-3.84	126	0.0437209
-3.36	130	0.0451088
-2.88	145	0.0503137
-2.4	134	0.0464968
-1.92	163	0.0565595
-1.44	167	0.0579475
-0.96	203	0.0704392
-0.48	210	0.0728681
0	208	0.0721741
0.48	179	0.0621114
0.96	162	0.0562125
1.44	170	0.0589885
1.92	155	0.0537836
2.4	150	0.0520486
2.88	126	0.0437209
3.36	113	0.03921
3.84	103	0.0357401
4.32	95	0.0329641
4.8	105	0.036434
5.28	88	0.0305352
5.76	107	0.037128
6.24	87	0.0301882
6.72	88	0.0305352
7.2	59	0.0204725
7.68	60	0.0208195
8.16	68	0.0235954
8.64	53	0.0183905
9.12	54	0.0187375
9.6	60	0.0208195
10.08	42	0.0145736
10.56	47	0.0163086
11.04	35	0.0121447
11.52	46	0.0159616
12	45	0.0156146
12.48	35	0.0121447
12.96	28	0.00971575
13.44	28	0.00971575
13.92	27	0.00936875
14.4	30	0.0104097
14.88	19	0.00659283
15.36	20	0.00693982
15.84	19	0.00659283
16.32	17	0.00589885
16.8	10	0.00346991
17.28	21	0.00728681
17.76	12	0.00416389
18.24	16	0.00555185
18.72	21	0.00728681
19.2	15	0.00520486
19.68	16	0.00555185
20.16	9	0.00312292
20.64	14	0.00485787
21.12	7	0.00242894
21.6	9	0.00312292
22.08	8	0.00277593
22.56	8	0.00277593
23.04	9	0.00312292
23.52	9	0.00312292
24	4	0.00138796
24.48	3	0.00104097
24.96	9	0.00312292
25.44	4	0.00138796
25.92	10	0.00346991
26.4	6	0.00208195
26.88	3	0.00104097
27.36	4	0.00138796
27.84	6	0.00208195
28.32	2	0.000693982
28.8	6	0.00208195
29.28	1	0.000346991
29.76	3	0.00104097
30.24	3	0.00104097
30.72	3	0.00104097
31.2	1	0.000346991
31.68	2	0.000693982
32.16	0	0
32.64	4	0.00138796
33.12	0	0
33.6	1	0.000346991
34.08	2	0.000693982
34.56	2	0.000693982
35.04	1	0.000346991
35.52	2	0.000693982
36	0	0
36.48	0	0
36.96	0	0
37.44	1	0.000346991
37.92	0	0
38.4	1	0.000346991
38.88	0	0
39.36	0	0
39.84	0	0
40.32	0	0
40.8	1	0.000346991
41.28	1	0.000346991
41.76	1	0.000346991
42.24	0	0
42.72	0	0
43.2	0	0
43.68	1	0.000346991
44.16	1	0.000346991
44.64	0	0
45.12	1	0.000346991
45.6	0	0
46.08	0	0
46.56	0	0
47.04	0	0
47.52	0	0
