START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -20 ms
To: 20 ms
START counts: 7484
STOP counts: 6301
Time intervals: 12510
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-20	1	0.00039968
-19.8	4	0.00159872
-19.6	2	0.000799361
-19.4	1	0.00039968
-19.2	3	0.00119904
-19	2	0.000799361
-18.8	1	0.00039968
-18.6	2	0.000799361
-18.4	3	0.00119904
-18.2	1	0.00039968
-18	2	0.000799361
-17.8	4	0.00159872
-17.6	2	0.000799361
-17.4	4	0.00159872
-17.2	5	0.0019984
-17	1	0.00039968
-16.8	4	0.00159872
-16.6	2	0.000799361
-16.4	3	0.00119904
-16.2	3	0.00119904
-16	9	0.00359712
-15.8	7	0.00279776
-15.6	5	0.0019984
-15.4	6	0.00239808
-15.2	4	0.00159872
-15	6	0.00239808
-14.8	10	0.0039968
-14.6	11	0.00439648
-14.4	9	0.00359712
-14.2	5	0.0019984
-14	6	0.00239808
-13.8	9	0.00359712
-13.6	12	0.00479616
-13.4	8	0.00319744
-13.2	17	0.00679456
-13	10	0.0039968
-12.8	14	0.00559552
-12.6	14	0.00559552
-12.4	9	0.00359712
-12.2	12	0.00479616
-12	22	0.00879297
-11.8	11	0.00439648
-11.6	22	0.00879297
-11.4	18	0.00719424
-11.2	16	0.00639488
-11	25	0.00999201
-10.8	18	0.00719424
-10.6	19	0.00759392
-10.4	22	0.00879297
-10.2	21	0.00839329
-10	30	0.0119904
-9.8	23	0.00919265
-9.6	26	0.0103917
-9.4	42	0.0167866
-9.2	28	0.011191
-9	33	0.0131894
-8.8	29	0.0115907
-8.6	44	0.0175859
-8.4	35	0.0139888
-8.2	40	0.0159872
-8	48	0.0191847
-7.8	53	0.0211831
-7.6	54	0.0215827
-7.4	48	0.0191847
-7.2	50	0.019984
-7	58	0.0231815
-6.8	46	0.0183853
-6.6	49	0.0195843
-6.4	72	0.028777
-6.2	71	0.0283773
-6	75	0.029976
-5.8	82	0.0327738
-5.6	87	0.0347722
-5.4	82	0.0327738
-5.2	83	0.0331735
-5	75	0.029976
-4.8	87	0.0347722
-4.6	112	0.0447642
-4.4	96	0.0383693
-4.2	120	0.0479616
-4	106	0.0423661
-3.8	124	0.0495604
-3.6	130	0.0519584
-3.4	134	0.0535572
-3.2	149	0.0595524
-3	141	0.0563549
-2.8	163	0.0651479
-2.6	149	0.0595524
-2.4	180	0.0719424
-2.2	191	0.0763389
-2	185	0.0739408
-1.8	226	0.0903277
-1.6	224	0.0895284
-1.4	232	0.0927258
-1.2	243	0.0971223
-1	265	0.105915
-0.8	257	0.102718
-0.6	297	0.118705
-0.4	269	0.107514
-0.2	385	0.153877
0	666	0.266187
0.2	294	0.117506
0.4	249	0.0995204
0.6	252	0.100719
0.8	226	0.0903277
1	215	0.0859313
1.2	236	0.0943245
1.4	223	0.0891287
1.6	195	0.0779376
1.8	176	0.0703437
2	166	0.0663469
2.2	160	0.0639488
2.4	160	0.0639488
2.6	148	0.0591527
2.8	133	0.0531575
3	130	0.0519584
3.2	137	0.0547562
3.4	140	0.0559552
3.6	113	0.0451639
3.8	115	0.0459632
4	120	0.0479616
4.2	100	0.039968
4.4	86	0.0343725
4.6	87	0.0347722
4.8	73	0.0291767
5	88	0.0351719
5.2	76	0.0303757
5.4	67	0.0267786
5.6	75	0.029976
5.8	74	0.0295763
6	79	0.0315747
6.2	60	0.0239808
6.4	56	0.0223821
6.6	55	0.0219824
6.8	45	0.0179856
7	62	0.0247802
7.2	55	0.0219824
7.4	45	0.0179856
7.6	43	0.0171863
7.8	47	0.018785
8	37	0.0147882
8.2	44	0.0175859
8.4	34	0.0135891
8.6	30	0.0119904
8.8	19	0.00759392
9	33	0.0131894
9.2	24	0.00959233
9.4	31	0.0123901
9.6	15	0.0059952
9.8	30	0.0119904
10	25	0.00999201
10.2	31	0.0123901
10.4	20	0.00799361
10.6	18	0.00719424
10.8	16	0.00639488
11	17	0.00679456
11.2	16	0.00639488
11.4	17	0.00679456
11.6	17	0.00679456
11.8	16	0.00639488
12	18	0.00719424
12.2	12	0.00479616
12.4	9	0.00359712
12.6	14	0.00559552
12.8	12	0.00479616
13	10	0.0039968
13.2	13	0.00519584
13.4	10	0.0039968
13.6	9	0.00359712
13.8	5	0.0019984
14	8	0.00319744
14.2	4	0.00159872
14.4	3	0.00119904
14.6	10	0.0039968
14.8	13	0.00519584
15	6	0.00239808
15.2	6	0.00239808
15.4	2	0.000799361
15.6	8	0.00319744
15.8	8	0.00319744
16	6	0.00239808
16.2	7	0.00279776
16.4	2	0.000799361
16.6	5	0.0019984
16.8	8	0.00319744
17	1	0.00039968
17.2	3	0.00119904
17.4	5	0.0019984
17.6	1	0.00039968
17.8	4	0.00159872
18	2	0.000799361
18.2	3	0.00119904
18.4	1	0.00039968
18.6	1	0.00039968
18.8	2	0.000799361
19	2	0.000799361
19.2	2	0.000799361
19.4	1	0.00039968
19.6	0	0
19.8	2	0.000799361
