START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 2304
STOP counts: 2053
Time intervals: 4104
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	2	0.00101527
-47.52	3	0.0015229
-47.04	3	0.0015229
-46.56	2	0.00101527
-46.08	0	0
-45.6	5	0.00253817
-45.12	3	0.0015229
-44.64	2	0.00101527
-44.16	2	0.00101527
-43.68	3	0.0015229
-43.2	3	0.0015229
-42.72	2	0.00101527
-42.24	6	0.00304581
-41.76	4	0.00203054
-41.28	3	0.0015229
-40.8	5	0.00253817
-40.32	1	0.000507635
-39.84	6	0.00304581
-39.36	3	0.0015229
-38.88	3	0.0015229
-38.4	3	0.0015229
-37.92	2	0.00101527
-37.44	2	0.00101527
-36.96	3	0.0015229
-36.48	5	0.00253817
-36	6	0.00304581
-35.52	5	0.00253817
-35.04	1	0.000507635
-34.56	9	0.00456871
-34.08	6	0.00304581
-33.6	3	0.0015229
-33.12	7	0.00355344
-32.64	4	0.00203054
-32.16	8	0.00406108
-31.68	4	0.00203054
-31.2	7	0.00355344
-30.72	14	0.00710689
-30.24	9	0.00456871
-29.76	7	0.00355344
-29.28	9	0.00456871
-28.8	8	0.00406108
-28.32	16	0.00812216
-27.84	11	0.00558398
-27.36	5	0.00253817
-26.88	9	0.00456871
-26.4	13	0.00659925
-25.92	9	0.00456871
-25.44	16	0.00812216
-24.96	12	0.00609162
-24.48	17	0.00862979
-24	17	0.00862979
-23.52	14	0.00710689
-23.04	15	0.00761452
-22.56	17	0.00862979
-22.08	10	0.00507635
-21.6	17	0.00862979
-21.12	20	0.0101527
-20.64	15	0.00761452
-20.16	23	0.0116756
-19.68	17	0.00862979
-19.2	15	0.00761452
-18.72	12	0.00609162
-18.24	15	0.00761452
-17.76	20	0.0101527
-17.28	13	0.00659925
-16.8	26	0.0131985
-16.32	23	0.0116756
-15.84	21	0.0106603
-15.36	33	0.0167519
-14.88	23	0.0116756
-14.4	30	0.015229
-13.92	29	0.0147214
-13.44	24	0.0121832
-12.96	33	0.0167519
-12.48	29	0.0147214
-12	34	0.0172596
-11.52	31	0.0157367
-11.04	37	0.0187825
-10.56	34	0.0172596
-10.08	37	0.0187825
-9.6	36	0.0182749
-9.12	33	0.0167519
-8.64	40	0.0203054
-8.16	46	0.0233512
-7.68	52	0.026397
-7.2	52	0.026397
-6.72	56	0.0284276
-6.24	53	0.0269046
-5.76	54	0.0274123
-5.28	44	0.0223359
-4.8	51	0.0258894
-4.32	61	0.0309657
-3.84	42	0.0213207
-3.36	52	0.026397
-2.88	65	0.0329963
-2.4	46	0.0233512
-1.92	84	0.0426413
-1.44	69	0.0350268
-0.96	53	0.0269046
-0.48	88	0.0446719
0	354	0.179703
0.48	66	0.0335039
0.96	54	0.0274123
1.44	51	0.0258894
1.92	74	0.037565
2.4	32	0.0162443
2.88	67	0.0340115
3.36	54	0.0274123
3.84	55	0.0279199
4.32	53	0.0269046
4.8	45	0.0228436
5.28	40	0.0203054
5.76	44	0.0223359
6.24	42	0.0213207
6.72	36	0.0182749
7.2	37	0.0187825
7.68	35	0.0177672
8.16	43	0.0218283
8.64	32	0.0162443
9.12	25	0.0126909
9.6	40	0.0203054
10.08	32	0.0162443
10.56	31	0.0157367
11.04	34	0.0172596
11.52	20	0.0101527
12	26	0.0131985
12.48	19	0.00964506
12.96	19	0.00964506
13.44	30	0.015229
13.92	25	0.0126909
14.4	20	0.0101527
14.88	25	0.0126909
15.36	17	0.00862979
15.84	19	0.00964506
16.32	10	0.00507635
16.8	12	0.00609162
17.28	23	0.0116756
17.76	11	0.00558398
18.24	15	0.00761452
18.72	14	0.00710689
19.2	22	0.011168
19.68	21	0.0106603
20.16	11	0.00558398
20.64	12	0.00609162
21.12	16	0.00812216
21.6	14	0.00710689
22.08	7	0.00355344
22.56	13	0.00659925
23.04	13	0.00659925
23.52	10	0.00507635
24	13	0.00659925
24.48	12	0.00609162
24.96	12	0.00609162
25.44	12	0.00609162
25.92	8	0.00406108
26.4	7	0.00355344
26.88	7	0.00355344
27.36	4	0.00203054
27.84	8	0.00406108
28.32	10	0.00507635
28.8	9	0.00456871
29.28	4	0.00203054
29.76	6	0.00304581
30.24	7	0.00355344
30.72	5	0.00253817
31.2	4	0.00203054
31.68	5	0.00253817
32.16	8	0.00406108
32.64	9	0.00456871
33.12	4	0.00203054
33.6	3	0.0015229
34.08	4	0.00203054
34.56	4	0.00203054
35.04	4	0.00203054
35.52	3	0.0015229
36	5	0.00253817
36.48	3	0.0015229
36.96	4	0.00203054
37.44	3	0.0015229
37.92	3	0.0015229
38.4	5	0.00253817
38.88	4	0.00203054
39.36	4	0.00203054
39.84	1	0.000507635
40.32	0	0
40.8	2	0.00101527
41.28	3	0.0015229
41.76	3	0.0015229
42.24	2	0.00101527
42.72	2	0.00101527
43.2	1	0.000507635
43.68	0	0
44.16	1	0.000507635
44.64	1	0.000507635
45.12	6	0.00304581
45.6	2	0.00101527
46.08	1	0.000507635
46.56	0	0
47.04	2	0.00101527
47.52	2	0.00101527
