START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 4135
STOP counts: 3389
Time intervals: 6766
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	0	0
-47.52	0	0
-47.04	0	0
-46.56	0	0
-46.08	0	0
-45.6	0	0
-45.12	0	0
-44.64	0	0
-44.16	0	0
-43.68	0	0
-43.2	0	0
-42.72	0	0
-42.24	2	0.000615824
-41.76	1	0.000307912
-41.28	0	0
-40.8	0	0
-40.32	0	0
-39.84	0	0
-39.36	0	0
-38.88	2	0.000615824
-38.4	3	0.000923736
-37.92	3	0.000923736
-37.44	0	0
-36.96	4	0.00123165
-36.48	5	0.00153956
-36	4	0.00123165
-35.52	0	0
-35.04	2	0.000615824
-34.56	3	0.000923736
-34.08	2	0.000615824
-33.6	1	0.000307912
-33.12	5	0.00153956
-32.64	6	0.00184747
-32.16	5	0.00153956
-31.68	2	0.000615824
-31.2	4	0.00123165
-30.72	0	0
-30.24	5	0.00153956
-29.76	3	0.000923736
-29.28	2	0.000615824
-28.8	2	0.000615824
-28.32	3	0.000923736
-27.84	4	0.00123165
-27.36	7	0.00215538
-26.88	5	0.00153956
-26.4	2	0.000615824
-25.92	9	0.00277121
-25.44	7	0.00215538
-24.96	7	0.00215538
-24.48	11	0.00338703
-24	5	0.00153956
-23.52	6	0.00184747
-23.04	8	0.0024633
-22.56	10	0.00307912
-22.08	9	0.00277121
-21.6	11	0.00338703
-21.12	17	0.00523451
-20.64	14	0.00431077
-20.16	20	0.00615824
-19.68	13	0.00400286
-19.2	17	0.00523451
-18.72	23	0.00708198
-18.24	16	0.00492659
-17.76	26	0.00800571
-17.28	20	0.00615824
-16.8	20	0.00615824
-16.32	27	0.00831363
-15.84	26	0.00800571
-15.36	30	0.00923736
-14.88	31	0.00954528
-14.4	47	0.0144719
-13.92	26	0.00800571
-13.44	26	0.00800571
-12.96	41	0.0126244
-12.48	40	0.0123165
-12	54	0.0166273
-11.52	49	0.0150877
-11.04	50	0.0153956
-10.56	54	0.0166273
-10.08	57	0.017551
-9.6	62	0.0190906
-9.12	64	0.0197064
-8.64	79	0.0243251
-8.16	66	0.0203222
-7.68	73	0.0224776
-7.2	90	0.0277121
-6.72	98	0.0301754
-6.24	112	0.0344862
-5.76	116	0.0357178
-5.28	110	0.0338703
-4.8	109	0.0335624
-4.32	129	0.0397207
-3.84	142	0.0437235
-3.36	138	0.0424919
-2.88	146	0.0449552
-2.4	180	0.0554242
-1.92	167	0.0514213
-1.44	176	0.0541925
-0.96	175	0.0538846
-0.48	237	0.0729752
0	205	0.063122
0.48	160	0.0492659
0.96	179	0.0551163
1.44	160	0.0492659
1.92	189	0.0581954
2.4	140	0.0431077
2.88	146	0.0449552
3.36	132	0.0406444
3.84	136	0.041876
4.32	112	0.0344862
4.8	140	0.0431077
5.28	103	0.0317149
5.76	92	0.0283279
6.24	94	0.0289437
6.72	98	0.0301754
7.2	105	0.0323308
7.68	73	0.0224776
8.16	86	0.0264804
8.64	78	0.0240171
9.12	62	0.0190906
9.6	67	0.0206301
10.08	63	0.0193985
10.56	55	0.0169352
11.04	46	0.014164
11.52	50	0.0153956
12	34	0.010469
12.48	41	0.0126244
12.96	28	0.00862154
13.44	24	0.00738989
13.92	35	0.0107769
14.4	21	0.00646615
14.88	24	0.00738989
15.36	31	0.00954528
15.84	25	0.0076978
16.32	20	0.00615824
16.8	21	0.00646615
17.28	22	0.00677407
17.76	20	0.00615824
18.24	20	0.00615824
18.72	24	0.00738989
19.2	15	0.00461868
19.68	15	0.00461868
20.16	17	0.00523451
20.64	12	0.00369495
21.12	12	0.00369495
21.6	12	0.00369495
22.08	10	0.00307912
22.56	11	0.00338703
23.04	8	0.0024633
23.52	11	0.00338703
24	2	0.000615824
24.48	7	0.00215538
24.96	6	0.00184747
25.44	5	0.00153956
25.92	5	0.00153956
26.4	2	0.000615824
26.88	2	0.000615824
27.36	3	0.000923736
27.84	4	0.00123165
28.32	2	0.000615824
28.8	5	0.00153956
29.28	3	0.000923736
29.76	5	0.00153956
30.24	2	0.000615824
30.72	4	0.00123165
31.2	3	0.000923736
31.68	2	0.000615824
32.16	4	0.00123165
32.64	0	0
33.12	0	0
33.6	1	0.000307912
34.08	3	0.000923736
34.56	1	0.000307912
35.04	2	0.000615824
35.52	2	0.000615824
36	1	0.000307912
36.48	3	0.000923736
36.96	2	0.000615824
37.44	1	0.000307912
37.92	3	0.000923736
38.4	1	0.000307912
38.88	2	0.000615824
39.36	1	0.000307912
39.84	2	0.000615824
40.32	0	0
40.8	1	0.000307912
41.28	0	0
41.76	1	0.000307912
42.24	0	0
42.72	2	0.000615824
43.2	0	0
43.68	0	0
44.16	1	0.000307912
44.64	1	0.000307912
45.12	0	0
45.6	1	0.000307912
46.08	0	0
46.56	0	0
47.04	1	0.000307912
47.52	0	0
