START: TDC 1
STOP: TDC 1
1st stop option: Off
From: 0 ms
To: 12 ms
START counts: 23020
STOP counts: 23020
Time intervals: 23006
Elapsed time: 30.0 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
0	973	0.704889
0.06	1078	0.780956
0.12	954	0.691124
0.18	932	0.675186
0.24	959	0.694746
0.3	835	0.604915
0.36	803	0.581732
0.42	735	0.53247
0.48	710	0.514359
0.54	648	0.469443
0.6	647	0.468718
0.66	619	0.448434
0.72	606	0.439016
0.78	554	0.401345
0.84	524	0.379611
0.9	533	0.386131
0.96	499	0.3615
1.02	473	0.342664
1.08	452	0.327451
1.14	421	0.304993
1.2	428	0.310064
1.26	422	0.305717
1.32	348	0.252108
1.38	368	0.266597
1.44	344	0.24921
1.5	348	0.252108
1.56	284	0.205743
1.62	298	0.215886
1.68	293	0.212263
1.74	253	0.183286
1.8	268	0.194152
1.86	254	0.18401
1.92	243	0.176041
1.98	231	0.167348
2.04	208	0.150685
2.1	196	0.141992
2.16	188	0.136196
2.22	173	0.12533
2.28	193	0.139819
2.34	186	0.134747
2.4	169	0.122432
2.46	159	0.115187
2.52	137	0.0992495
2.58	121	0.0876583
2.64	142	0.102872
2.7	141	0.102147
2.76	122	0.0883827
2.82	130	0.0941783
2.88	114	0.0825872
2.94	113	0.0818627
3	100	0.0724449
3.06	106	0.0767916
3.12	95	0.0688226
3.18	90	0.0652004
3.24	89	0.0644759
3.3	78	0.056507
3.36	73	0.0528848
3.42	79	0.0572314
3.48	56	0.0405691
3.54	64	0.0463647
3.6	73	0.0528848
3.66	51	0.0369469
3.72	61	0.0441914
3.78	52	0.0376713
3.84	45	0.0326002
3.9	33	0.0239068
3.96	50	0.0362224
4.02	37	0.0268046
4.08	36	0.0260802
4.14	45	0.0326002
4.2	41	0.0297024
4.26	42	0.0304268
4.32	32	0.0231824
4.38	30	0.0217335
4.44	27	0.0195601
4.5	30	0.0217335
4.56	33	0.0239068
4.62	30	0.0217335
4.68	35	0.0253557
4.74	27	0.0195601
4.8	24	0.0173868
4.86	23	0.0166623
4.92	21	0.0152134
4.98	25	0.0181112
5.04	16	0.0115912
5.1	16	0.0115912
5.16	20	0.014489
5.22	22	0.0159379
5.28	18	0.0130401
5.34	17	0.0123156
5.4	16	0.0115912
5.46	20	0.014489
5.52	14	0.0101423
5.58	11	0.00796894
5.64	14	0.0101423
5.7	10	0.00724449
5.76	13	0.00941783
5.82	10	0.00724449
5.88	12	0.00869338
5.94	7	0.00507114
6	9	0.00652004
6.06	8	0.00579559
6.12	12	0.00869338
6.18	9	0.00652004
6.24	6	0.00434669
6.3	8	0.00579559
6.36	8	0.00579559
6.42	7	0.00507114
6.48	7	0.00507114
6.54	3	0.00217335
6.6	7	0.00507114
6.66	2	0.0014489
6.72	4	0.00289779
6.78	7	0.00507114
6.84	9	0.00652004
6.9	8	0.00579559
6.96	10	0.00724449
7.02	1	0.000724449
7.08	4	0.00289779
7.14	3	0.00217335
7.2	4	0.00289779
7.26	2	0.0014489
7.32	6	0.00434669
7.38	3	0.00217335
7.44	3	0.00217335
7.5	1	0.000724449
7.56	6	0.00434669
7.62	1	0.000724449
7.68	3	0.00217335
7.74	0	0
7.8	3	0.00217335
7.86	3	0.00217335
7.92	1	0.000724449
7.98	1	0.000724449
8.04	3	0.00217335
8.1	1	0.000724449
8.16	2	0.0014489
8.22	2	0.0014489
8.28	1	0.000724449
8.34	1	0.000724449
8.4	0	0
8.46	1	0.000724449
8.52	1	0.000724449
8.58	1	0.000724449
8.64	2	0.0014489
8.7	2	0.0014489
8.76	3	0.00217335
8.82	1	0.000724449
8.88	3	0.00217335
8.94	0	0
9	3	0.00217335
9.06	1	0.000724449
9.12	1	0.000724449
9.18	0	0
9.24	1	0.000724449
9.3	0	0
9.36	1	0.000724449
9.42	1	0.000724449
9.48	0	0
9.54	0	0
9.6	1	0.000724449
9.66	1	0.000724449
9.72	0	0
9.78	0	0
9.84	0	0
9.9	0	0
9.96	0	0
10.02	1	0.000724449
10.08	0	0
10.14	2	0.0014489
10.2	0	0
10.26	0	0
10.32	0	0
10.38	0	0
10.44	0	0
10.5	0	0
10.56	0	0
10.62	1	0.000724449
10.68	0	0
10.74	0	0
10.8	0	0
10.86	0	0
10.92	0	0
10.98	0	0
11.04	0	0
11.1	0	0
11.16	1	0.000724449
11.22	0	0
11.28	0	0
11.34	0	0
11.4	0	0
11.46	0	0
11.52	0	0
11.58	0	0
11.64	0	0
11.7	0	0
11.76	0	0
11.82	0	0
11.88	0	0
11.94	0	0
