START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 4054
STOP counts: 3425
Time intervals: 6848
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	0	0
-47.52	0	0
-47.04	1	0.000304225
-46.56	0	0
-46.08	0	0
-45.6	0	0
-45.12	0	0
-44.64	0	0
-44.16	0	0
-43.68	0	0
-43.2	2	0.00060845
-42.72	0	0
-42.24	0	0
-41.76	0	0
-41.28	0	0
-40.8	1	0.000304225
-40.32	2	0.00060845
-39.84	0	0
-39.36	1	0.000304225
-38.88	2	0.00060845
-38.4	4	0.0012169
-37.92	0	0
-37.44	0	0
-36.96	0	0
-36.48	0	0
-36	4	0.0012169
-35.52	3	0.000912675
-35.04	3	0.000912675
-34.56	3	0.000912675
-34.08	0	0
-33.6	4	0.0012169
-33.12	1	0.000304225
-32.64	1	0.000304225
-32.16	4	0.0012169
-31.68	1	0.000304225
-31.2	4	0.0012169
-30.72	2	0.00060845
-30.24	5	0.00152113
-29.76	2	0.00060845
-29.28	6	0.00182535
-28.8	4	0.0012169
-28.32	6	0.00182535
-27.84	6	0.00182535
-27.36	4	0.0012169
-26.88	7	0.00212958
-26.4	11	0.00334648
-25.92	7	0.00212958
-25.44	11	0.00334648
-24.96	10	0.00304225
-24.48	8	0.0024338
-24	9	0.00273803
-23.52	11	0.00334648
-23.04	9	0.00273803
-22.56	12	0.0036507
-22.08	8	0.0024338
-21.6	9	0.00273803
-21.12	12	0.0036507
-20.64	18	0.00547605
-20.16	16	0.0048676
-19.68	15	0.00456338
-19.2	12	0.0036507
-18.72	15	0.00456338
-18.24	18	0.00547605
-17.76	18	0.00547605
-17.28	22	0.00669295
-16.8	29	0.00882253
-16.32	31	0.00943098
-15.84	24	0.0073014
-15.36	33	0.0100394
-14.88	29	0.00882253
-14.4	30	0.00912675
-13.92	33	0.0100394
-13.44	43	0.0130817
-12.96	39	0.0118648
-12.48	43	0.0130817
-12	53	0.0161239
-11.52	59	0.0179493
-11.04	60	0.0182535
-10.56	61	0.0185577
-10.08	60	0.0182535
-9.6	74	0.0225127
-9.12	78	0.0237296
-8.64	72	0.0219042
-8.16	71	0.0216
-7.68	80	0.024338
-7.2	96	0.0292056
-6.72	86	0.0261634
-6.24	108	0.0328563
-5.76	91	0.0276845
-5.28	87	0.0264676
-4.8	119	0.0362028
-4.32	119	0.0362028
-3.84	131	0.0398535
-3.36	147	0.0447211
-2.88	159	0.0483718
-2.4	164	0.0498929
-1.92	164	0.0498929
-1.44	199	0.0605408
-0.96	203	0.0617577
-0.48	215	0.0654084
0	226	0.0687549
0.48	211	0.0641915
0.96	174	0.0529352
1.44	184	0.0559774
1.92	158	0.0480676
2.4	161	0.0489802
2.88	138	0.0419831
3.36	153	0.0465464
3.84	137	0.0416788
4.32	103	0.0313352
4.8	107	0.0325521
5.28	124	0.0377239
5.76	96	0.0292056
6.24	84	0.0255549
6.72	76	0.0231211
7.2	84	0.0255549
7.68	69	0.0209915
8.16	63	0.0191662
8.64	63	0.0191662
9.12	64	0.0194704
9.6	62	0.018862
10.08	40	0.012169
10.56	55	0.0167324
11.04	50	0.0152113
11.52	49	0.014907
12	50	0.0152113
12.48	37	0.0112563
12.96	46	0.0139944
13.44	44	0.0133859
13.92	31	0.00943098
14.4	27	0.00821408
14.88	21	0.00638873
15.36	27	0.00821408
15.84	35	0.0106479
16.32	36	0.0109521
16.8	27	0.00821408
17.28	18	0.00547605
17.76	22	0.00669295
18.24	22	0.00669295
18.72	11	0.00334648
19.2	21	0.00638873
19.68	19	0.00578028
20.16	14	0.00425915
20.64	11	0.00334648
21.12	15	0.00456338
21.6	10	0.00304225
22.08	10	0.00304225
22.56	6	0.00182535
23.04	6	0.00182535
23.52	11	0.00334648
24	8	0.0024338
24.48	8	0.0024338
24.96	9	0.00273803
25.44	7	0.00212958
25.92	7	0.00212958
26.4	8	0.0024338
26.88	4	0.0012169
27.36	5	0.00152113
27.84	6	0.00182535
28.32	5	0.00152113
28.8	2	0.00060845
29.28	4	0.0012169
29.76	4	0.0012169
30.24	1	0.000304225
30.72	1	0.000304225
31.2	6	0.00182535
31.68	1	0.000304225
32.16	2	0.00060845
32.64	2	0.00060845
33.12	3	0.000912675
33.6	3	0.000912675
34.08	2	0.00060845
34.56	0	0
35.04	2	0.00060845
35.52	1	0.000304225
36	0	0
36.48	3	0.000912675
36.96	1	0.000304225
37.44	2	0.00060845
37.92	2	0.00060845
38.4	0	0
38.88	0	0
39.36	0	0
39.84	1	0.000304225
40.32	0	0
40.8	0	0
41.28	1	0.000304225
41.76	0	0
42.24	0	0
42.72	0	0
43.2	1	0.000304225
43.68	0	0
44.16	0	0
44.64	0	0
45.12	1	0.000304225
45.6	1	0.000304225
46.08	0	0
46.56	2	0.00060845
47.04	0	0
47.52	0	0
