Total counts: 323834
Active taps: 163
Average width: 17.53 ps
Temperature: 60.9 °C

Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
95	135	0.00041688	1.19	1698.26	-0.9320	1.919
96	4535	0.0140041	40.01	1718.86	1.2827	3.202
97	182	0.000562016	1.61	1739.67	-0.9084	2.294
98	2794	0.00862788	24.65	1752.79	0.4063	2.700
99	1386	0.00427997	12.23	1771.23	-0.3024	2.398
100	3683	0.0113731	32.49	1793.60	0.8538	3.252
101	134	0.000413792	1.18	1810.43	-0.9326	2.319
102	3515	0.0108543	31.01	1826.53	0.7693	3.088
103	806	0.00248893	7.11	1845.59	-0.5943	2.494
104	4148	0.012809	36.60	1867.45	1.0879	3.582
105	215	0.00066392	1.90	1886.69	-0.8918	2.690
106	3516	0.0108574	31.02	1903.15	0.7698	3.460
107	999	0.00308491	8.81	1923.07	-0.4972	2.963
108	2057	0.00635202	18.15	1936.55	0.0354	2.998
109	567	0.0017509	5.00	1948.13	-0.7146	2.283
110	3719	0.0114843	32.81	1967.04	0.8719	3.155
111	392	0.0012105	3.46	1985.17	-0.8027	2.353
112	3610	0.0111477	31.85	2002.83	0.8171	3.170
113	82	0.000253216	0.72	2019.11	-0.9587	2.211
114	3513	0.0108482	30.99	2034.97	0.7682	2.979
115	944	0.00291507	8.33	2054.63	-0.5248	2.454
116	1735	0.00535768	15.31	2066.45	-0.1267	2.328
117	356	0.00109933	3.14	2075.68	-0.8208	1.507
118	3655	0.0112866	32.25	2093.37	0.8397	2.347
119	616	0.00190221	5.43	2112.21	-0.6899	1.657
120	6276	0.0193803	55.37	2142.61	2.1590	3.816
121	731	0.00225733	6.45	2173.53	-0.6321	3.184
122	3219	0.00994028	28.40	2190.95	0.6203	3.804
123	382	0.00117962	3.37	2206.84	-0.8077	2.996
124	3615	0.0111631	31.89	2224.47	0.8196	3.816
125	386	0.00119197	3.41	2242.12	-0.8057	3.010
126	3520	0.0108698	31.06	2259.35	0.7718	3.782
127	719	0.00222027	6.34	2278.05	-0.6381	3.144
128	2542	0.0078497	22.43	2292.44	0.2795	3.423
129	151	0.000466288	1.33	2304.32	-0.9240	2.499
130	3592	0.0110921	31.69	2320.83	0.8080	3.307
131	236	0.000728768	2.08	2337.71	-0.8812	2.426
132	2923	0.00902623	25.79	2351.65	0.4713	2.897
133	825	0.0025476	7.28	2368.18	-0.5847	2.313
134	3804	0.0117468	33.56	2388.60	0.9147	3.227
135	227	0.000700976	2.00	2406.39	-0.8857	2.342
136	4558	0.0140751	40.21	2427.50	1.2942	3.636
137	288	0.000889345	2.54	2448.87	-0.8550	2.781
138	3636	0.011228	32.08	2466.18	0.8302	3.611
139	145	0.00044776	1.28	2482.86	-0.9270	2.684
140	5914	0.0182624	52.18	2509.59	1.9768	4.661
141	186	0.000574368	1.64	2536.50	-0.9064	3.754
142	2844	0.00878228	25.09	2549.87	0.4315	4.186
143	1402	0.00432938	12.37	2568.60	-0.2943	3.891
144	2128	0.00657127	18.78	2584.17	0.0711	3.963
145	557	0.00172002	4.91	2596.02	-0.7196	3.243
146	2692	0.0083129	23.75	2610.35	0.3550	3.598
147	887	0.00273906	7.83	2626.14	-0.5535	3.044
148	3282	0.0101348	28.96	2644.53	0.6520	3.696
149	315	0.000972721	2.78	2660.40	-0.8414	2.855
150	3634	0.0112218	32.06	2677.82	0.8292	3.684
151	726	0.00224189	6.41	2697.05	-0.6346	3.050
152	2200	0.0067936	19.41	2709.96	0.1074	3.157
153	864	0.00266803	7.62	2723.48	-0.5651	2.592
154	3134	0.0096778	27.65	2741.11	0.5775	3.169
155	843	0.00260319	7.44	2758.66	-0.5757	2.594
156	4063	0.0125466	35.85	2780.30	1.0451	3.639
157	102	0.000314976	0.90	2798.67	-0.9487	2.690
158	3839	0.0118548	33.87	2816.06	0.9323	3.622
159	687	0.00212146	6.06	2836.03	-0.6542	2.968
160	1107	0.00341842	9.77	2843.94	-0.4428	2.525
161	442	0.0013649	3.90	2850.77	-0.7775	1.748
162	500	0.001544	4.41	2854.93	-0.7483	0.999
163	1	3.088e-06	0.01	2857.14	-0.9995	0.000
164	0	0	0.00	2857.14	0.0000	0.000
165	0	0	0.00	2857.14	0.0000	0.000
166	0	0	0.00	2857.14	0.0000	0.000
167	0	0	0.00	2857.14	0.0000	0.000
168	0	0	0.00	2857.14	0.0000	0.000
169	0	0	0.00	2857.14	0.0000	0.000
170	0	0	0.00	2857.14	0.0000	0.000
171	0	0	0.00	2857.14	0.0000	0.000
172	0	0	0.00	2857.14	0.0000	0.000
173	0	0	0.00	2857.14	0.0000	0.000
174	0	0	0.00	2857.14	0.0000	0.000
175	0	0	0.00	2857.14	0.0000	0.000
176	0	0	0.00	2857.14	0.0000	0.000
177	0	0	0.00	2857.14	0.0000	0.000
178	0	0	0.00	2857.14	0.0000	0.000
179	0	0	0.00	2857.14	0.0000	0.000
180	0	0	0.00	2857.14	0.0000	0.000
181	0	0	0.00	2857.14	0.0000	0.000
182	0	0	0.00	2857.14	0.0000	0.000
183	0	0	0.00	2857.14	0.0000	0.000
184	0	0	0.00	2857.14	0.0000	0.000
185	0	0	0.00	2857.14	0.0000	0.000
186	0	0	0.00	2857.14	0.0000	0.000
187	0	0	0.00	2857.14	0.0000	0.000
188	0	0	0.00	2857.14	0.0000	0.000
189	0	0	0.00	2857.14	0.0000	0.000
190	0	0	0.00	2857.14	0.0000	0.000
191	0	0	0.00	2857.14	0.0000	0.000
192	0	0	0.00	2857.14	0.0000	0.000
