START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -30 ms
To: 30 ms
START counts: 7554
STOP counts: 5809
Time intervals: 11613
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-30	0	0
-29.7	0	0
-29.4	0	0
-29.1	1	0.000287035
-28.8	0	0
-28.5	1	0.000287035
-28.2	1	0.000287035
-27.9	0	0
-27.6	0	0
-27.3	0	0
-27	1	0.000287035
-26.7	1	0.000287035
-26.4	2	0.000574069
-26.1	1	0.000287035
-25.8	4	0.00114814
-25.5	0	0
-25.2	1	0.000287035
-24.9	3	0.000861104
-24.6	1	0.000287035
-24.3	0	0
-24	1	0.000287035
-23.7	1	0.000287035
-23.4	3	0.000861104
-23.1	2	0.000574069
-22.8	2	0.000574069
-22.5	1	0.000287035
-22.2	3	0.000861104
-21.9	1	0.000287035
-21.6	1	0.000287035
-21.3	0	0
-21	0	0
-20.7	2	0.000574069
-20.4	3	0.000861104
-20.1	2	0.000574069
-19.8	6	0.00172221
-19.5	6	0.00172221
-19.2	1	0.000287035
-18.9	2	0.000574069
-18.6	3	0.000861104
-18.3	5	0.00143517
-18	6	0.00172221
-17.7	5	0.00143517
-17.4	0	0
-17.1	2	0.000574069
-16.8	6	0.00172221
-16.5	6	0.00172221
-16.2	10	0.00287035
-15.9	3	0.000861104
-15.6	9	0.00258331
-15.3	8	0.00229628
-15	6	0.00172221
-14.7	21	0.00602773
-14.4	17	0.00487959
-14.1	7	0.00200924
-13.8	13	0.00373145
-13.5	11	0.00315738
-13.2	18	0.00516662
-12.9	19	0.00545366
-12.6	15	0.00430552
-12.3	18	0.00516662
-12	15	0.00430552
-11.7	19	0.00545366
-11.4	21	0.00602773
-11.1	20	0.00574069
-10.8	33	0.00947214
-10.5	30	0.00861104
-10.2	36	0.0103332
-9.9	34	0.00975918
-9.6	34	0.00975918
-9.3	39	0.0111944
-9	48	0.0137777
-8.7	53	0.0152128
-8.4	57	0.016361
-8.1	56	0.0160739
-7.8	60	0.0172221
-7.5	70	0.0200924
-7.2	87	0.024972
-6.9	79	0.0226757
-6.6	93	0.0266942
-6.3	89	0.0255461
-6	100	0.0287035
-5.7	115	0.033009
-5.4	117	0.0335831
-5.1	138	0.0396108
-4.8	127	0.0364534
-4.5	167	0.0479348
-4.2	159	0.0456385
-3.9	170	0.0487959
-3.6	188	0.0539625
-3.3	199	0.0571199
-3	204	0.0585551
-2.7	215	0.0617124
-2.4	213	0.0611384
-2.1	294	0.0843882
-1.8	276	0.0792216
-1.5	319	0.0915641
-1.2	363	0.104194
-0.9	359	0.103045
-0.6	393	0.112805
-0.3	457	0.131175
0	458	0.131462
0.3	389	0.111656
0.6	397	0.113953
0.9	360	0.103332
1.2	354	0.10161
1.5	297	0.0852493
1.8	279	0.0800827
2.1	242	0.0694624
2.4	242	0.0694624
2.7	211	0.0605643
3	183	0.0525273
3.3	185	0.0531014
3.6	173	0.049657
3.9	157	0.0450644
4.2	145	0.04162
4.5	133	0.0381756
4.8	131	0.0376015
5.1	115	0.033009
5.4	103	0.0295646
5.7	95	0.0272683
6	103	0.0295646
6.3	80	0.0229628
6.6	78	0.0223887
6.9	71	0.0203795
7.2	51	0.0146388
7.5	66	0.0189443
7.8	60	0.0172221
8.1	45	0.0129166
8.4	43	0.0123425
8.7	37	0.0106203
9	30	0.00861104
9.3	40	0.0114814
9.6	29	0.008324
9.9	30	0.00861104
10.2	30	0.00861104
10.5	26	0.0074629
10.8	28	0.00803697
11.1	20	0.00574069
11.4	14	0.00401849
11.7	24	0.00688883
12	12	0.00344442
12.3	17	0.00487959
12.6	17	0.00487959
12.9	16	0.00459255
13.2	10	0.00287035
13.5	8	0.00229628
13.8	17	0.00487959
14.1	10	0.00287035
14.4	9	0.00258331
14.7	10	0.00287035
15	4	0.00114814
15.3	7	0.00200924
15.6	8	0.00229628
15.9	6	0.00172221
16.2	3	0.000861104
16.5	8	0.00229628
16.8	3	0.000861104
17.1	6	0.00172221
17.4	8	0.00229628
17.7	1	0.000287035
18	1	0.000287035
18.3	3	0.000861104
18.6	4	0.00114814
18.9	2	0.000574069
19.2	2	0.000574069
19.5	5	0.00143517
19.8	3	0.000861104
20.1	3	0.000861104
20.4	2	0.000574069
20.7	4	0.00114814
21	4	0.00114814
21.3	1	0.000287035
21.6	2	0.000574069
21.9	1	0.000287035
22.2	1	0.000287035
22.5	3	0.000861104
22.8	1	0.000287035
23.1	1	0.000287035
23.4	1	0.000287035
23.7	1	0.000287035
24	0	0
24.3	4	0.00114814
24.6	1	0.000287035
24.9	0	0
25.2	1	0.000287035
25.5	0	0
25.8	1	0.000287035
26.1	4	0.00114814
26.4	3	0.000861104
26.7	2	0.000574069
27	1	0.000287035
27.3	3	0.000861104
27.6	0	0
27.9	2	0.000574069
28.2	0	0
28.5	0	0
28.8	3	0.000861104
29.1	0	0
29.4	1	0.000287035
29.7	0	0
