START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -22 ms
To: 22 ms
START counts: 7540
STOP counts: 2380
Time intervals: 4737
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-22	1	0.000959564
-21.78	1	0.000959564
-21.56	1	0.000959564
-21.34	2	0.00191913
-21.12	0	0
-20.9	0	0
-20.68	3	0.00287869
-20.46	0	0
-20.24	1	0.000959564
-20.02	1	0.000959564
-19.8	1	0.000959564
-19.58	1	0.000959564
-19.36	0	0
-19.14	1	0.000959564
-18.92	0	0
-18.7	1	0.000959564
-18.48	1	0.000959564
-18.26	0	0
-18.04	0	0
-17.82	1	0.000959564
-17.6	4	0.00383826
-17.38	2	0.00191913
-17.16	3	0.00287869
-16.94	3	0.00287869
-16.72	0	0
-16.5	0	0
-16.28	2	0.00191913
-16.06	2	0.00191913
-15.84	0	0
-15.62	3	0.00287869
-15.4	5	0.00479782
-15.18	2	0.00191913
-14.96	3	0.00287869
-14.74	3	0.00287869
-14.52	2	0.00191913
-14.3	4	0.00383826
-14.08	4	0.00383826
-13.86	7	0.00671695
-13.64	2	0.00191913
-13.42	8	0.00767651
-13.2	6	0.00575738
-12.98	4	0.00383826
-12.76	5	0.00479782
-12.54	3	0.00287869
-12.32	9	0.00863608
-12.1	4	0.00383826
-11.88	11	0.0105552
-11.66	5	0.00479782
-11.44	7	0.00671695
-11.22	5	0.00479782
-11	9	0.00863608
-10.78	10	0.00959564
-10.56	10	0.00959564
-10.34	8	0.00767651
-10.12	8	0.00767651
-9.9	11	0.0105552
-9.68	11	0.0105552
-9.46	12	0.0115148
-9.24	11	0.0105552
-9.02	9	0.00863608
-8.8	17	0.0163126
-8.58	13	0.0124743
-8.36	20	0.0191913
-8.14	16	0.015353
-7.92	23	0.02207
-7.7	20	0.0191913
-7.48	28	0.0268678
-7.26	15	0.0143935
-7.04	24	0.0230295
-6.82	19	0.0182317
-6.6	36	0.0345443
-6.38	26	0.0249487
-6.16	21	0.0201508
-5.94	28	0.0268678
-5.72	41	0.0393421
-5.5	27	0.0259082
-5.28	44	0.0422208
-5.06	39	0.037423
-4.84	39	0.037423
-4.62	40	0.0383826
-4.4	27	0.0259082
-4.18	48	0.0460591
-3.96	35	0.0335847
-3.74	42	0.0403017
-3.52	60	0.0575738
-3.3	55	0.052776
-3.08	61	0.0585334
-2.86	76	0.0729269
-2.64	71	0.068129
-2.42	88	0.0844416
-2.2	70	0.0671695
-1.98	92	0.0882799
-1.76	86	0.0825225
-1.54	112	0.107471
-1.32	77	0.0738864
-1.1	94	0.090199
-0.88	100	0.0959564
-0.66	137	0.13146
-0.44	117	0.112269
-0.22	151	0.144894
0	120	0.115148
0.22	105	0.100754
0.44	115	0.11035
0.66	97	0.0930777
0.88	110	0.105552
1.1	114	0.10939
1.32	82	0.0786842
1.54	83	0.0796438
1.76	83	0.0796438
1.98	81	0.0777247
2.2	76	0.0729269
2.42	67	0.0642908
2.64	57	0.0546951
2.86	68	0.0652504
3.08	63	0.0604525
3.3	60	0.0575738
3.52	65	0.0623717
3.74	43	0.0412613
3.96	57	0.0546951
4.18	42	0.0403017
4.4	45	0.0431804
4.62	48	0.0460591
4.84	34	0.0326252
5.06	43	0.0412613
5.28	36	0.0345443
5.5	28	0.0268678
5.72	29	0.0278274
5.94	25	0.0239891
6.16	23	0.02207
6.38	27	0.0259082
6.6	26	0.0249487
6.82	21	0.0201508
7.04	25	0.0239891
7.26	23	0.02207
7.48	18	0.0172722
7.7	18	0.0172722
7.92	14	0.0134339
8.14	18	0.0172722
8.36	12	0.0115148
8.58	21	0.0201508
8.8	13	0.0124743
9.02	14	0.0134339
9.24	11	0.0105552
9.46	18	0.0172722
9.68	8	0.00767651
9.9	8	0.00767651
10.12	6	0.00575738
10.34	10	0.00959564
10.56	11	0.0105552
10.78	9	0.00863608
11	10	0.00959564
11.22	8	0.00767651
11.44	8	0.00767651
11.66	7	0.00671695
11.88	5	0.00479782
12.1	7	0.00671695
12.32	5	0.00479782
12.54	7	0.00671695
12.76	3	0.00287869
12.98	4	0.00383826
13.2	7	0.00671695
13.42	3	0.00287869
13.64	3	0.00287869
13.86	3	0.00287869
14.08	1	0.000959564
14.3	4	0.00383826
14.52	2	0.00191913
14.74	3	0.00287869
14.96	4	0.00383826
15.18	1	0.000959564
15.4	2	0.00191913
15.62	0	0
15.84	5	0.00479782
16.06	2	0.00191913
16.28	2	0.00191913
16.5	1	0.000959564
16.72	2	0.00191913
16.94	3	0.00287869
17.16	3	0.00287869
17.38	1	0.000959564
17.6	2	0.00191913
17.82	2	0.00191913
18.04	1	0.000959564
18.26	1	0.000959564
18.48	2	0.00191913
18.7	2	0.00191913
18.92	0	0
19.14	0	0
19.36	0	0
19.58	3	0.00287869
19.8	0	0
20.02	2	0.00191913
20.24	1	0.000959564
20.46	3	0.00287869
20.68	1	0.000959564
20.9	2	0.00191913
21.12	0	0
21.34	0	0
21.56	1	0.000959564
21.78	0	0
