START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 4092
STOP counts: 3359
Time intervals: 6712
Elapsed time: 30.0 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	0	0
-47.52	0	0
-47.04	1	0.000310389
-46.56	0	0
-46.08	0	0
-45.6	0	0
-45.12	0	0
-44.64	0	0
-44.16	1	0.000310389
-43.68	0	0
-43.2	1	0.000310389
-42.72	1	0.000310389
-42.24	1	0.000310389
-41.76	3	0.000931168
-41.28	0	0
-40.8	2	0.000620779
-40.32	1	0.000310389
-39.84	1	0.000310389
-39.36	1	0.000310389
-38.88	4	0.00124156
-38.4	1	0.000310389
-37.92	1	0.000310389
-37.44	1	0.000310389
-36.96	0	0
-36.48	0	0
-36	0	0
-35.52	2	0.000620779
-35.04	4	0.00124156
-34.56	1	0.000310389
-34.08	2	0.000620779
-33.6	1	0.000310389
-33.12	0	0
-32.64	2	0.000620779
-32.16	0	0
-31.68	6	0.00186234
-31.2	5	0.00155195
-30.72	2	0.000620779
-30.24	3	0.000931168
-29.76	2	0.000620779
-29.28	5	0.00155195
-28.8	4	0.00124156
-28.32	3	0.000931168
-27.84	6	0.00186234
-27.36	8	0.00248311
-26.88	3	0.000931168
-26.4	5	0.00155195
-25.92	4	0.00124156
-25.44	5	0.00155195
-24.96	5	0.00155195
-24.48	5	0.00155195
-24	6	0.00186234
-23.52	7	0.00217273
-23.04	8	0.00248311
-22.56	6	0.00186234
-22.08	8	0.00248311
-21.6	10	0.00310389
-21.12	16	0.00496623
-20.64	16	0.00496623
-20.16	18	0.00558701
-19.68	14	0.00434545
-19.2	15	0.00465584
-18.72	25	0.00775973
-18.24	17	0.00527662
-17.76	22	0.00682857
-17.28	14	0.00434545
-16.8	17	0.00527662
-16.32	26	0.00807012
-15.84	26	0.00807012
-15.36	43	0.0133467
-14.88	33	0.0102428
-14.4	33	0.0102428
-13.92	30	0.00931168
-13.44	40	0.0124156
-12.96	42	0.0130364
-12.48	38	0.0117948
-12	61	0.0189338
-11.52	44	0.0136571
-11.04	57	0.0176922
-10.56	40	0.0124156
-10.08	50	0.0155195
-9.6	73	0.0226584
-9.12	73	0.0226584
-8.64	73	0.0226584
-8.16	79	0.0245208
-7.68	88	0.0273143
-7.2	75	0.0232792
-6.72	79	0.0245208
-6.24	83	0.0257623
-5.76	103	0.0319701
-5.28	109	0.0338324
-4.8	124	0.0384883
-4.32	134	0.0415922
-3.84	111	0.0344532
-3.36	144	0.0446961
-2.88	186	0.0577324
-2.4	192	0.0595948
-1.92	174	0.0540077
-1.44	186	0.0577324
-0.96	183	0.0568013
-0.48	202	0.0626986
0	226	0.070148
0.48	177	0.0549389
0.96	172	0.053387
1.44	175	0.0543181
1.92	157	0.0487311
2.4	160	0.0496623
2.88	130	0.0403506
3.36	146	0.0453168
3.84	144	0.0446961
4.32	126	0.0391091
4.8	106	0.0329013
5.28	101	0.0313493
5.76	106	0.0329013
6.24	95	0.029487
6.72	87	0.0270039
7.2	77	0.0239
7.68	68	0.0211065
8.16	66	0.0204857
8.64	61	0.0189338
9.12	68	0.0211065
9.6	59	0.018313
10.08	55	0.0170714
10.56	59	0.018313
11.04	53	0.0164506
11.52	53	0.0164506
12	36	0.011174
12.48	41	0.012726
12.96	33	0.0102428
13.44	39	0.0121052
13.92	36	0.011174
14.4	35	0.0108636
14.88	24	0.00744934
15.36	37	0.0114844
15.84	30	0.00931168
16.32	17	0.00527662
16.8	24	0.00744934
17.28	20	0.00620779
17.76	20	0.00620779
18.24	13	0.00403506
18.72	18	0.00558701
19.2	15	0.00465584
19.68	11	0.00341428
20.16	13	0.00403506
20.64	9	0.0027935
21.12	13	0.00403506
21.6	4	0.00124156
22.08	11	0.00341428
22.56	7	0.00217273
23.04	4	0.00124156
23.52	5	0.00155195
24	6	0.00186234
24.48	8	0.00248311
24.96	11	0.00341428
25.44	8	0.00248311
25.92	8	0.00248311
26.4	7	0.00217273
26.88	4	0.00124156
27.36	5	0.00155195
27.84	3	0.000931168
28.32	2	0.000620779
28.8	2	0.000620779
29.28	5	0.00155195
29.76	2	0.000620779
30.24	5	0.00155195
30.72	2	0.000620779
31.2	1	0.000310389
31.68	3	0.000931168
32.16	5	0.00155195
32.64	1	0.000310389
33.12	2	0.000620779
33.6	0	0
34.08	1	0.000310389
34.56	1	0.000310389
35.04	0	0
35.52	1	0.000310389
36	0	0
36.48	2	0.000620779
36.96	2	0.000620779
37.44	1	0.000310389
37.92	2	0.000620779
38.4	1	0.000310389
38.88	0	0
39.36	4	0.00124156
39.84	0	0
40.32	3	0.000931168
40.8	1	0.000310389
41.28	0	0
41.76	0	0
42.24	1	0.000310389
42.72	0	0
43.2	1	0.000310389
43.68	0	0
44.16	1	0.000310389
44.64	0	0
45.12	0	0
45.6	0	0
46.08	0	0
46.56	2	0.000620779
47.04	0	0
47.52	0	0
