START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -20 ms
To: 20 ms
START counts: 7704
STOP counts: 6324
Time intervals: 12564
Elapsed time: 30.2 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-20	6	0.00238777
-19.8	1	0.000397962
-19.6	1	0.000397962
-19.4	2	0.000795925
-19.2	3	0.00119389
-19	4	0.00159185
-18.8	2	0.000795925
-18.6	0	0
-18.4	5	0.00198981
-18.2	3	0.00119389
-18	1	0.000397962
-17.8	5	0.00198981
-17.6	2	0.000795925
-17.4	1	0.000397962
-17.2	4	0.00159185
-17	5	0.00198981
-16.8	5	0.00198981
-16.6	2	0.000795925
-16.4	4	0.00159185
-16.2	4	0.00159185
-16	6	0.00238777
-15.8	6	0.00238777
-15.6	12	0.00477555
-15.4	12	0.00477555
-15.2	2	0.000795925
-15	5	0.00198981
-14.8	11	0.00437759
-14.6	7	0.00278574
-14.4	14	0.00557147
-14.2	5	0.00198981
-14	8	0.0031837
-13.8	11	0.00437759
-13.6	11	0.00437759
-13.4	5	0.00198981
-13.2	9	0.00358166
-13	13	0.00517351
-12.8	14	0.00557147
-12.6	8	0.0031837
-12.4	14	0.00557147
-12.2	11	0.00437759
-12	8	0.0031837
-11.8	17	0.00676536
-11.6	24	0.0095511
-11.4	22	0.00875517
-11.2	20	0.00795925
-11	13	0.00517351
-10.8	17	0.00676536
-10.6	18	0.00716332
-10.4	18	0.00716332
-10.2	32	0.0127348
-10	22	0.00875517
-9.8	33	0.0131328
-9.6	25	0.00994906
-9.4	40	0.0159185
-9.2	23	0.00915314
-9	38	0.0151226
-8.8	35	0.0139287
-8.6	38	0.0151226
-8.4	34	0.0135307
-8.2	41	0.0163165
-8	34	0.0135307
-7.8	56	0.0222859
-7.6	45	0.0179083
-7.4	47	0.0187042
-7.2	55	0.0218879
-7	52	0.020694
-6.8	52	0.020694
-6.6	63	0.0250716
-6.4	59	0.0234798
-6.2	67	0.0266635
-6	76	0.0302451
-5.8	75	0.0298472
-5.6	88	0.0350207
-5.4	97	0.0386024
-5.2	91	0.0362146
-5	81	0.032235
-4.8	98	0.0390003
-4.6	103	0.0409901
-4.4	111	0.0441738
-4.2	105	0.0417861
-4	122	0.0485514
-3.8	111	0.0441738
-3.6	140	0.0557147
-3.4	142	0.0565107
-3.2	144	0.0573066
-3	146	0.0581025
-2.8	146	0.0581025
-2.6	168	0.0668577
-2.4	167	0.0664597
-2.2	193	0.0768067
-2	181	0.0720312
-1.8	199	0.0791945
-1.6	206	0.0819803
-1.4	228	0.0907354
-1.2	265	0.10546
-1	231	0.0919293
-0.8	263	0.104664
-0.6	313	0.124562
-0.4	305	0.121379
-0.2	389	0.154807
0	868	0.345431
0.2	286	0.113817
0.4	276	0.109838
0.6	216	0.0859599
0.8	242	0.0963069
1	237	0.0943171
1.2	221	0.0879497
1.4	210	0.0835721
1.6	200	0.0795925
1.8	160	0.063674
2	192	0.0764088
2.2	156	0.0620821
2.4	161	0.064072
2.6	163	0.0648679
2.8	136	0.0541229
3	137	0.0545209
3.2	133	0.052929
3.4	109	0.0433779
3.6	129	0.0513372
3.8	106	0.042184
4	92	0.0366125
4.2	114	0.0453677
4.4	83	0.0330309
4.6	66	0.0262655
4.8	77	0.0306431
5	81	0.032235
5.2	77	0.0306431
5.4	72	0.0286533
5.6	62	0.0246737
5.8	54	0.02149
6	63	0.0250716
6.2	49	0.0195002
6.4	54	0.02149
6.6	37	0.0147246
6.8	49	0.0195002
7	48	0.0191022
7.2	45	0.0179083
7.4	50	0.0198981
7.6	34	0.0135307
7.8	30	0.0119389
8	43	0.0171124
8.2	25	0.00994906
8.4	34	0.0135307
8.6	25	0.00994906
8.8	33	0.0131328
9	33	0.0131328
9.2	24	0.0095511
9.4	33	0.0131328
9.6	27	0.010745
9.8	25	0.00994906
10	17	0.00676536
10.2	25	0.00994906
10.4	18	0.00716332
10.6	19	0.00756129
10.8	12	0.00477555
11	12	0.00477555
11.2	16	0.0063674
11.4	21	0.00835721
11.6	10	0.00397962
11.8	7	0.00278574
12	9	0.00358166
12.2	14	0.00557147
12.4	10	0.00397962
12.6	11	0.00437759
12.8	10	0.00397962
13	11	0.00437759
13.2	7	0.00278574
13.4	16	0.0063674
13.6	9	0.00358166
13.8	16	0.0063674
14	12	0.00477555
14.2	7	0.00278574
14.4	8	0.0031837
14.6	1	0.000397962
14.8	8	0.0031837
15	13	0.00517351
15.2	6	0.00238777
15.4	9	0.00358166
15.6	2	0.000795925
15.8	7	0.00278574
16	7	0.00278574
16.2	3	0.00119389
16.4	4	0.00159185
16.6	8	0.0031837
16.8	4	0.00159185
17	3	0.00119389
17.2	4	0.00159185
17.4	0	0
17.6	1	0.000397962
17.8	7	0.00278574
18	3	0.00119389
18.2	4	0.00159185
18.4	4	0.00159185
18.6	3	0.00119389
18.8	2	0.000795925
19	1	0.000397962
19.2	1	0.000397962
19.4	6	0.00238777
19.6	2	0.000795925
19.8	1	0.000397962
