START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 4135
STOP counts: 3393
Time intervals: 6780
Elapsed time: 30.0 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	1	0.000307276
-47.52	0	0
-47.04	1	0.000307276
-46.56	0	0
-46.08	0	0
-45.6	0	0
-45.12	0	0
-44.64	2	0.000614553
-44.16	1	0.000307276
-43.68	1	0.000307276
-43.2	1	0.000307276
-42.72	0	0
-42.24	0	0
-41.76	0	0
-41.28	0	0
-40.8	1	0.000307276
-40.32	0	0
-39.84	0	0
-39.36	0	0
-38.88	1	0.000307276
-38.4	3	0.000921829
-37.92	1	0.000307276
-37.44	0	0
-36.96	1	0.000307276
-36.48	3	0.000921829
-36	4	0.00122911
-35.52	3	0.000921829
-35.04	0	0
-34.56	1	0.000307276
-34.08	2	0.000614553
-33.6	5	0.00153638
-33.12	1	0.000307276
-32.64	5	0.00153638
-32.16	3	0.000921829
-31.68	3	0.000921829
-31.2	1	0.000307276
-30.72	3	0.000921829
-30.24	5	0.00153638
-29.76	4	0.00122911
-29.28	7	0.00215093
-28.8	4	0.00122911
-28.32	2	0.000614553
-27.84	2	0.000614553
-27.36	6	0.00184366
-26.88	6	0.00184366
-26.4	2	0.000614553
-25.92	5	0.00153638
-25.44	8	0.00245821
-24.96	8	0.00245821
-24.48	6	0.00184366
-24	6	0.00184366
-23.52	6	0.00184366
-23.04	4	0.00122911
-22.56	4	0.00122911
-22.08	8	0.00245821
-21.6	5	0.00153638
-21.12	9	0.00276549
-20.64	11	0.00338004
-20.16	11	0.00338004
-19.68	13	0.00399459
-19.2	15	0.00460914
-18.72	20	0.00614553
-18.24	14	0.00430187
-17.76	18	0.00553097
-17.28	22	0.00676008
-16.8	14	0.00430187
-16.32	27	0.00829646
-15.84	28	0.00860374
-15.36	27	0.00829646
-14.88	24	0.00737463
-14.4	28	0.00860374
-13.92	39	0.0119838
-13.44	34	0.0104474
-12.96	52	0.0159784
-12.48	35	0.0107547
-12	54	0.0165929
-11.52	53	0.0162856
-11.04	54	0.0165929
-10.56	49	0.0150565
-10.08	57	0.0175147
-9.6	70	0.0215093
-9.12	76	0.023353
-8.64	85	0.0261185
-8.16	89	0.0273476
-7.68	85	0.0261185
-7.2	73	0.0224312
-6.72	86	0.0264258
-6.24	98	0.0301131
-5.76	102	0.0313422
-5.28	110	0.0338004
-4.8	108	0.0331858
-4.32	107	0.0328786
-3.84	135	0.0414823
-3.36	159	0.0488569
-2.88	167	0.0513151
-2.4	176	0.0540806
-1.92	163	0.050086
-1.44	191	0.0586898
-0.96	206	0.0632989
-0.48	250	0.0768191
0	228	0.070059
0.48	220	0.0676008
0.96	169	0.0519297
1.44	201	0.0617625
1.92	154	0.0473206
2.4	193	0.0593043
2.88	144	0.0442478
3.36	120	0.0368732
3.84	125	0.0384095
4.32	121	0.0371804
4.8	120	0.0368732
5.28	105	0.032264
5.76	89	0.0273476
6.24	92	0.0282694
6.72	61	0.0187439
7.2	80	0.0245821
7.68	72	0.0221239
8.16	67	0.0205875
8.64	65	0.019973
9.12	64	0.0196657
9.6	79	0.0242748
10.08	62	0.0190511
10.56	42	0.0129056
11.04	57	0.0175147
11.52	38	0.0116765
12	56	0.0172075
12.48	38	0.0116765
12.96	34	0.0104474
13.44	37	0.0113692
13.92	27	0.00829646
14.4	28	0.00860374
14.88	27	0.00829646
15.36	33	0.0101401
15.84	37	0.0113692
16.32	18	0.00553097
16.8	22	0.00676008
17.28	18	0.00553097
17.76	12	0.00368732
18.24	21	0.0064528
18.72	20	0.00614553
19.2	12	0.00368732
19.68	11	0.00338004
20.16	9	0.00276549
20.64	8	0.00245821
21.12	8	0.00245821
21.6	12	0.00368732
22.08	10	0.00307276
22.56	6	0.00184366
23.04	6	0.00184366
23.52	4	0.00122911
24	5	0.00153638
24.48	6	0.00184366
24.96	9	0.00276549
25.44	5	0.00153638
25.92	4	0.00122911
26.4	5	0.00153638
26.88	3	0.000921829
27.36	9	0.00276549
27.84	1	0.000307276
28.32	4	0.00122911
28.8	3	0.000921829
29.28	7	0.00215093
29.76	3	0.000921829
30.24	3	0.000921829
30.72	1	0.000307276
31.2	2	0.000614553
31.68	3	0.000921829
32.16	1	0.000307276
32.64	1	0.000307276
33.12	6	0.00184366
33.6	1	0.000307276
34.08	0	0
34.56	3	0.000921829
35.04	1	0.000307276
35.52	1	0.000307276
36	1	0.000307276
36.48	1	0.000307276
36.96	2	0.000614553
37.44	1	0.000307276
37.92	1	0.000307276
38.4	0	0
38.88	2	0.000614553
39.36	2	0.000614553
39.84	1	0.000307276
40.32	0	0
40.8	1	0.000307276
41.28	3	0.000921829
41.76	0	0
42.24	0	0
42.72	0	0
43.2	0	0
43.68	0	0
44.16	2	0.000614553
44.64	2	0.000614553
45.12	0	0
45.6	0	0
46.08	0	0
46.56	1	0.000307276
47.04	1	0.000307276
47.52	0	0
