START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 4163
STOP counts: 3467
Time intervals: 6928
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	0	0
-47.52	0	0
-47.04	1	0.000300712
-46.56	0	0
-46.08	1	0.000300712
-45.6	0	0
-45.12	3	0.000902136
-44.64	0	0
-44.16	0	0
-43.68	0	0
-43.2	1	0.000300712
-42.72	1	0.000300712
-42.24	0	0
-41.76	1	0.000300712
-41.28	1	0.000300712
-40.8	0	0
-40.32	0	0
-39.84	3	0.000902136
-39.36	1	0.000300712
-38.88	1	0.000300712
-38.4	2	0.000601424
-37.92	3	0.000902136
-37.44	0	0
-36.96	2	0.000601424
-36.48	1	0.000300712
-36	2	0.000601424
-35.52	1	0.000300712
-35.04	0	0
-34.56	1	0.000300712
-34.08	4	0.00120285
-33.6	1	0.000300712
-33.12	7	0.00210498
-32.64	3	0.000902136
-32.16	9	0.00270641
-31.68	2	0.000601424
-31.2	2	0.000601424
-30.72	3	0.000902136
-30.24	6	0.00180427
-29.76	8	0.0024057
-29.28	3	0.000902136
-28.8	2	0.000601424
-28.32	4	0.00120285
-27.84	8	0.0024057
-27.36	4	0.00120285
-26.88	3	0.000902136
-26.4	6	0.00180427
-25.92	11	0.00330783
-25.44	5	0.00150356
-24.96	7	0.00210498
-24.48	18	0.00541282
-24	11	0.00330783
-23.52	15	0.00451068
-23.04	13	0.00390926
-22.56	16	0.00481139
-22.08	12	0.00360855
-21.6	14	0.00420997
-21.12	20	0.00601424
-20.64	24	0.00721709
-20.16	25	0.0075178
-19.68	15	0.00451068
-19.2	13	0.00390926
-18.72	13	0.00390926
-18.24	10	0.00300712
-17.76	23	0.00691638
-17.28	21	0.00631495
-16.8	27	0.00811923
-16.32	28	0.00841994
-15.84	22	0.00661567
-15.36	26	0.00781851
-14.88	23	0.00691638
-14.4	31	0.00932207
-13.92	28	0.00841994
-13.44	32	0.00962279
-12.96	29	0.00872065
-12.48	51	0.0153363
-12	44	0.0132313
-11.52	49	0.0147349
-11.04	53	0.0159377
-10.56	45	0.013532
-10.08	63	0.0189449
-9.6	72	0.0216513
-9.12	64	0.0192456
-8.64	88	0.0264627
-8.16	74	0.0222527
-7.68	75	0.0225534
-7.2	85	0.0255605
-6.72	76	0.0228541
-6.24	107	0.0321762
-5.76	81	0.0243577
-5.28	128	0.0384911
-4.8	128	0.0384911
-4.32	149	0.0448061
-3.84	129	0.0387919
-3.36	153	0.0460089
-2.88	142	0.0427011
-2.4	153	0.0460089
-1.92	178	0.0535268
-1.44	198	0.059541
-0.96	209	0.0628488
-0.48	238	0.0715695
0	474	0.142538
0.48	203	0.0610446
0.96	193	0.0580374
1.44	157	0.0472118
1.92	163	0.0490161
2.4	146	0.043904
2.88	129	0.0387919
3.36	106	0.0318755
3.84	134	0.0402954
4.32	116	0.0348826
4.8	112	0.0336798
5.28	100	0.0300712
5.76	89	0.0267634
6.24	77	0.0231548
6.72	79	0.0237563
7.2	62	0.0186441
7.68	74	0.0222527
8.16	70	0.0210498
8.64	49	0.0147349
9.12	61	0.0183434
9.6	59	0.017742
10.08	45	0.013532
10.56	52	0.015637
11.04	42	0.0126299
11.52	45	0.013532
12	38	0.0114271
12.48	41	0.0123292
12.96	28	0.00841994
13.44	41	0.0123292
13.92	33	0.0099235
14.4	33	0.0099235
14.88	28	0.00841994
15.36	31	0.00932207
15.84	18	0.00541282
16.32	21	0.00631495
16.8	15	0.00451068
17.28	18	0.00541282
17.76	19	0.00571353
18.24	14	0.00420997
18.72	16	0.00481139
19.2	14	0.00420997
19.68	14	0.00420997
20.16	14	0.00420997
20.64	10	0.00300712
21.12	9	0.00270641
21.6	15	0.00451068
22.08	18	0.00541282
22.56	9	0.00270641
23.04	8	0.0024057
23.52	6	0.00180427
24	4	0.00120285
24.48	6	0.00180427
24.96	7	0.00210498
25.44	8	0.0024057
25.92	4	0.00120285
26.4	4	0.00120285
26.88	7	0.00210498
27.36	7	0.00210498
27.84	5	0.00150356
28.32	3	0.000902136
28.8	7	0.00210498
29.28	10	0.00300712
29.76	6	0.00180427
30.24	2	0.000601424
30.72	2	0.000601424
31.2	4	0.00120285
31.68	1	0.000300712
32.16	1	0.000300712
32.64	2	0.000601424
33.12	0	0
33.6	0	0
34.08	2	0.000601424
34.56	1	0.000300712
35.04	2	0.000601424
35.52	1	0.000300712
36	2	0.000601424
36.48	2	0.000601424
36.96	0	0
37.44	2	0.000601424
37.92	1	0.000300712
38.4	1	0.000300712
38.88	2	0.000601424
39.36	0	0
39.84	3	0.000902136
40.32	0	0
40.8	1	0.000300712
41.28	1	0.000300712
41.76	2	0.000601424
42.24	0	0
42.72	1	0.000300712
43.2	1	0.000300712
43.68	0	0
44.16	0	0
44.64	0	0
45.12	0	0
45.6	0	0
46.08	0	0
46.56	0	0
47.04	0	0
47.52	0	0
