START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -22 ms
To: 22 ms
START counts: 7606
STOP counts: 2238
Time intervals: 4465
Elapsed time: 30.0 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-22	0	0
-21.78	0	0
-21.56	0	0
-21.34	0	0
-21.12	0	0
-20.9	1	0.00101802
-20.68	2	0.00203604
-20.46	0	0
-20.24	0	0
-20.02	0	0
-19.8	2	0.00203604
-19.58	2	0.00203604
-19.36	0	0
-19.14	1	0.00101802
-18.92	3	0.00305406
-18.7	1	0.00101802
-18.48	0	0
-18.26	0	0
-18.04	4	0.00407208
-17.82	1	0.00101802
-17.6	1	0.00101802
-17.38	0	0
-17.16	1	0.00101802
-16.94	0	0
-16.72	2	0.00203604
-16.5	1	0.00101802
-16.28	5	0.00509009
-16.06	3	0.00305406
-15.84	1	0.00101802
-15.62	3	0.00305406
-15.4	1	0.00101802
-15.18	2	0.00203604
-14.96	2	0.00203604
-14.74	7	0.00712613
-14.52	6	0.00610811
-14.3	4	0.00407208
-14.08	4	0.00407208
-13.86	4	0.00407208
-13.64	6	0.00610811
-13.42	6	0.00610811
-13.2	3	0.00305406
-12.98	3	0.00305406
-12.76	4	0.00407208
-12.54	4	0.00407208
-12.32	6	0.00610811
-12.1	3	0.00305406
-11.88	7	0.00712613
-11.66	11	0.0111982
-11.44	7	0.00712613
-11.22	7	0.00712613
-11	10	0.0101802
-10.78	7	0.00712613
-10.56	7	0.00712613
-10.34	2	0.00203604
-10.12	5	0.00509009
-9.9	12	0.0122162
-9.68	9	0.00916217
-9.46	6	0.00610811
-9.24	10	0.0101802
-9.02	13	0.0132342
-8.8	16	0.0162883
-8.58	12	0.0122162
-8.36	15	0.0152703
-8.14	22	0.0223964
-7.92	17	0.0173063
-7.7	18	0.0183243
-7.48	13	0.0132342
-7.26	24	0.0244325
-7.04	18	0.0183243
-6.82	18	0.0183243
-6.6	28	0.0285045
-6.38	19	0.0193424
-6.16	26	0.0264685
-5.94	30	0.0305406
-5.72	41	0.0417388
-5.5	37	0.0376667
-5.28	27	0.0274865
-5.06	27	0.0274865
-4.84	32	0.0325766
-4.62	43	0.0437748
-4.4	36	0.0366487
-4.18	52	0.052937
-3.96	47	0.0478469
-3.74	60	0.0610811
-3.52	41	0.0417388
-3.3	62	0.0631172
-3.08	73	0.0743154
-2.86	56	0.0570091
-2.64	78	0.0794055
-2.42	68	0.0692253
-2.2	76	0.0773694
-1.98	67	0.0682073
-1.76	90	0.0916217
-1.54	79	0.0804235
-1.32	87	0.0885676
-1.1	95	0.0967118
-0.88	105	0.106892
-0.66	109	0.110964
-0.44	105	0.106892
-0.22	151	0.153721
0	150	0.152703
0.22	115	0.117072
0.44	119	0.121144
0.66	104	0.105874
0.88	101	0.10282
1.1	80	0.0814415
1.32	94	0.0956938
1.54	83	0.0844956
1.76	67	0.0682073
1.98	72	0.0732974
2.2	65	0.0661712
2.42	66	0.0671892
2.64	61	0.0620992
2.86	50	0.0509009
3.08	60	0.0610811
3.3	53	0.053955
3.52	46	0.0468289
3.74	59	0.0600631
3.96	46	0.0468289
4.18	43	0.0437748
4.4	52	0.052937
4.62	26	0.0264685
4.84	35	0.0356307
5.06	26	0.0264685
5.28	31	0.0315586
5.5	24	0.0244325
5.72	29	0.0295225
5.94	31	0.0315586
6.16	27	0.0274865
6.38	26	0.0264685
6.6	16	0.0162883
6.82	26	0.0264685
7.04	14	0.0142523
7.26	24	0.0244325
7.48	15	0.0152703
7.7	22	0.0223964
7.92	16	0.0162883
8.14	15	0.0152703
8.36	18	0.0183243
8.58	13	0.0132342
8.8	10	0.0101802
9.02	14	0.0142523
9.24	12	0.0122162
9.46	7	0.00712613
9.68	10	0.0101802
9.9	12	0.0122162
10.12	8	0.00814415
10.34	9	0.00916217
10.56	7	0.00712613
10.78	9	0.00916217
11	6	0.00610811
11.22	7	0.00712613
11.44	7	0.00712613
11.66	5	0.00509009
11.88	4	0.00407208
12.1	4	0.00407208
12.32	6	0.00610811
12.54	5	0.00509009
12.76	5	0.00509009
12.98	2	0.00203604
13.2	6	0.00610811
13.42	7	0.00712613
13.64	0	0
13.86	4	0.00407208
14.08	2	0.00203604
14.3	3	0.00305406
14.52	3	0.00305406
14.74	0	0
14.96	3	0.00305406
15.18	1	0.00101802
15.4	5	0.00509009
15.62	4	0.00407208
15.84	1	0.00101802
16.06	0	0
16.28	0	0
16.5	2	0.00203604
16.72	3	0.00305406
16.94	1	0.00101802
17.16	1	0.00101802
17.38	0	0
17.6	1	0.00101802
17.82	1	0.00101802
18.04	0	0
18.26	1	0.00101802
18.48	1	0.00101802
18.7	0	0
18.92	2	0.00203604
19.14	1	0.00101802
19.36	2	0.00203604
19.58	0	0
19.8	1	0.00101802
20.02	1	0.00101802
20.24	2	0.00203604
20.46	0	0
20.68	0	0
20.9	0	0
21.12	2	0.00203604
21.34	2	0.00203604
21.56	0	0
21.78	1	0.00101802
