28171014	46
28171045	19
28171054	51
28171056	66
28171058	31
28171083	50
28171139	44
28181028	34
28181075	28
28181080	34
28181086	29
28181096	54
28191003	31
28191011	31
28191016	56
28191017	74
28191018	65
28191019	23
28191020	50
28191029	57
28191031	16
28191038	39
28191041	58
28191046	56
28191048	72
28191050	50
28191053	58
28191056	81
28191058	48
28191059	30
28191064	43
28191066	32
28191067	41
28191068	51
28191072	78
28191075	27
28191076	56
28191079	56
28191081	65
28191082	32
28191083	35
28191085	20
28191092	91
28191093	17
28191095	12
28191096	59
28191105	50
28191106	59
28191108	55
28191112	52
28191113	39
28191114	50
28191115	70
28191120	85
