2	0.500000000	D ∞ h {displaystyle D_{infty h}} D_{{infty h}}	0	–	–	–	–	–	–	2	–	–	180.000°
35	498.569872491	C 2 {displaystyle C_{2}} C_{2}	0.000419208	0	0	12	23	0	0	99	66	0	33.100°
36	529.122408375	D 2 {displaystyle D_{2}} D_{2}	0	0	0	12	24	0	0	102	68	0	33.229°
37	560.618887731	D 5 h {displaystyle D_{5h}} D_{{5h}}	0	0	0	12	25	0	0	105	70	0	32.332°
38	593.038503566	D 6 d {displaystyle D_{6d}} D_{{6d}}	0	0	0	12	26	0	0	108	72	0	33.236°
39	626.389009017	D 3 h {displaystyle D_{3h}} D_{{3h}}	0	0	0	12	27	0	0	111	74	0	32.053°
40	660.675278835	T d {displaystyle T_{d}} T_{d}	0	0	0	12	28	0	0	114	76	0	31.916°
41	695.916744342	D 3 h {displaystyle D_{3h}} D_{{3h}}	0	0	0	12	29	0	0	117	78	0	31.528°
42	732.078107544	D 5 h {displaystyle D_{5h}} D_{{5h}}	0	0	0	12	30	0	0	120	80	0	31.245°
43	769.190846459	C 2 v {displaystyle C_{2v}} C_{{2v}}	0.000399668	0	0	12	31	0	0	123	82	0	30.867°
44	807.174263085	O h {displaystyle O_{h}} {displaystyle O_{h}}	0	0	0	24	20	0	0	120	72	6	31.258°
45	846.188401061	D 3 {displaystyle D_{3}} D_{3}	0	0	0	12	33	0	0	129	86	0	30.207°
46	886.167113639	T {displaystyle T} T	0	0	0	12	34	0	0	132	88	0	29.790°
47	927.059270680	C s {displaystyle C_{s}} C_{s}	0.002482914	0	0	14	33	0	0	134	88	1	28.787°
48	968.713455344	O {displaystyle O} O	0	0	0	24	24	0	0	132	80	6	29.690°
49	1011.557182654	C 3 {displaystyle C_{3}} C_{3}	0.001529341	0	0	12	37	0	0	141	94	0	28.387°
50	1055.182314726	D 6 d {displaystyle D_{6d}} D_{{6d}}	0	0	0	12	38	0	0	144	96	0	29.231°
51	1099.819290319	D 3 {displaystyle D_{3}} D_{3}	0	0	0	12	39	0	0	147	98	0	28.165°
52	1145.418964319	C 3 {displaystyle C_{3}} C_{3}	0.000457327	0	0	12	40	0	0	150	100	0	27.670°
53	1191.922290416	C 2 v {displaystyle C_{2v}} C_{{2v}}	0.000278469	0	0	18	35	0	0	150	96	3	27.137°
54	1239.361474729	C 2 {displaystyle C_{2}} C_{2}	0.000137870	0	0	12	42	0	0	156	104	0	27.030°
55	1287.772720783	C 2 {displaystyle C_{2}} C_{2}	0.000391696	0	0	12	43	0	0	159	106	0	26.615°
56	1337.094945276	D 2 {displaystyle D_{2}} D_{2}	0	0	0	12	44	0	0	162	108	0	26.683°
57	1387.383229253	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	45	0	0	165	110	0	26.702°
58	1438.618250640	D 2 {displaystyle D_{2}} D_{2}	0	0	0	12	46	0	0	168	112	0	26.155°
59	1490.773335279	C 2 {displaystyle C_{2}} C_{2}	0.000154286	0	0	14	43	2	0	171	114	0	26.170°
60	1543.830400976	D 3 {displaystyle D_{3}} D_{3}	0	0	0	12	48	0	0	174	116	0	25.958°
61	1597.941830199	C 1 {displaystyle C_{1}} C_{1}	0.001091717	0	0	12	49	0	0	177	118	0	25.392°
62	1652.909409898	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	50	0	0	180	120	0	25.880°
63	1708.879681503	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	51	0	0	183	122	0	25.257°
64	1765.802577927	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	52	0	0	186	124	0	24.920°
65	1823.667960264	C 2 {displaystyle C_{2}} C_{{2}}	0.000399515	0	0	12	53	0	0	189	126	0	24.527°
66	1882.441525304	C 2 {displaystyle C_{2}} C_{{2}}	0.000776245	0	0	12	54	0	0	192	128	0	24.765°
67	1942.122700406	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	55	0	0	195	130	0	24.727°
68	2002.874701749	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	56	0	0	198	132	0	24.433°
69	2064.533483235	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	57	0	0	201	134	0	24.137°
70	2127.100901551	D 2 d {displaystyle D_{2d}} D_{{2d}}	0	0	0	12	50	0	0	200	128	4	24.291°
71	2190.649906425	C 2 {displaystyle C_{2}} C_{{2}}	0.001256769	0	0	14	55	2	0	207	138	0	23.803°
72	2255.001190975	I {displaystyle I} I	0	0	0	12	60	0	0	210	140	0	24.492°
73	2320.633883745	C 2 {displaystyle C_{2}} C_{{2}}	0.001572959	0	0	12	61	0	0	213	142	0	22.810°
74	2387.072981838	C 2 {displaystyle C_{2}} C_{{2}}	0.000641539	0	0	12	62	0	0	216	144	0	22.966°
75	2454.369689040	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	63	0	0	219	146	0	22.736°
76	2522.674871841	C 2 {displaystyle C_{2}} C_{{2}}	0.000943474	0	0	12	64	0	0	222	148	0	22.886°
77	2591.850152354	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	65	0	0	225	150	0	23.286°
78	2662.046474566	T h {displaystyle T_{h}} T_{{h}}	0	0	0	12	66	0	0	228	152	0	23.426°
79	2733.248357479	C s {displaystyle C_{s}} C_{{s}}	0.000702921	0	0	12	63	1	0	230	152	1	22.636°
80	2805.355875981	D 4 d {displaystyle D_{4d}} D_{{4d}}	0	0	0	16	64	0	0	232	152	2	22.778°
81	2878.522829664	C 2 {displaystyle C_{2}} C_{{2}}	0.000194289	0	0	12	69	0	0	237	158	0	21.892°
82	2952.569675286	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	70	0	0	240	160	0	22.206°
83	3027.528488921	C 2 {displaystyle C_{2}} C_{{2}}	0.000339815	0	0	14	67	2	0	243	162	0	21.646°
84	3103.465124431	C 2 {displaystyle C_{2}} C_{{2}}	0.000401973	0	0	12	72	0	0	246	164	0	21.513°
85	3180.361442939	C 2 {displaystyle C_{2}} C_{{2}}	0.000416581	0	0	12	73	0	0	249	166	0	21.498°
86	3258.211605713	C 2 {displaystyle C_{2}} C_{{2}}	0.001378932	0	0	12	74	0	0	252	168	0	21.522°
87	3337.000750014	C 2 {displaystyle C_{2}} C_{{2}}	0.000754863	0	0	12	75	0	0	255	170	0	21.456°
88	3416.720196758	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	76	0	0	258	172	0	21.486°
89	3497.439018625	C 2 {displaystyle C_{2}} C_{{2}}	0.000070891	0	0	12	77	0	0	261	174	0	21.182°
90	3579.091222723	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	78	0	0	264	176	0	21.230°
91	3661.713699320	C 2 {displaystyle C_{2}} C_{{2}}	0.000033221	0	0	12	79	0	0	267	178	0	21.105°
92	3745.291636241	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	80	0	0	270	180	0	21.026°
