#Radij	Hitrosti
0.7776004979382284	70.000
0.6669774093548522	51.500
0.777044870501838	69.900
0.7957185770562006	73.300
0.8271230062605772	79.200
0.7084277687575763	58.100
0.48382928928750213	27.100
0.4197808220902414	20.400
0.6344544799921784	46.600
0.5435262994854895	34.200
0.3338123230987259	12.900
0.49529812056958433	28.400
0.48561135531778343	27.300
0.5363269577853859	33.300
0.4609725487037008	24.600
0.31242568576153834	11.300
0.7940885611886479	73.000
0.5124415094925598	30.400
0.5199716658012014	31.300
0.6418990006288633	47.700
0.2749232925730786	8.750
0.7748183763250379	69.500
0.6303567763249399	46.000
0.5972862758278735	41.300
0.692395125208296	55.500
0.4882722593750971	27.600
0.6303567763249399	46.000
0.8426426146964152	82.200
0.603759163804073	42.200
0.7078178437467337	58.000
0.5929317613089684	40.700
0.6262322602161238	45.400
0.6973675059656222	56.300
0.4437873651742014	22.800
0.5653382523835986	37.000
0.6591609978927452	50.300
0.5082098804118241	29.900
0.9289455403531368	99.900
0.674703274066801	52.700
0.8929113851772907	92.300
0.4775396903174768	26.400
1.00100559431631	116.000
0.5878107248298704	40.000
0.7359380884916307	62.700
0.6385258874200175	47.200
0.48915601079392323	27.700
0.7371108989384434	62.900
0.6115774421147182	43.300
0.46656029876293703	25.200
0.701073648128417	56.900
