#Ne_0 N
4.69166038	3.361757932
2.960672368	2.121437404
4.681610414	3.354556738
5.027307717	3.60226236
5.646343292	4.045825531
3.547674002	2.542047005
1.130143114	0.809791688
0.738116235	0.528889116
2.548345931	1.825989405
1.602207152	1.148044011
0.371162484	0.265952418
1.212430958	0.868754142
1.142676978	0.818772691
1.539380061	1.103025947
0.97742213	0.700361137
0.304296651	0.218040437
4.996475901	3.580170159
1.342733679	0.962121132
1.402800827	1.00516159
2.639107467	1.891023591
0.207344054	0.148570114
4.641482462	3.325803493
2.499287715	1.790837277
2.126202304	1.523507006
3.312218523	2.373333956
1.161563964	0.832305954
2.499287715	1.790837277
5.97017736	4.27786529
2.196080134	1.573577201
3.538518718	2.535486886
2.080037289	1.49042797
2.450548409	1.75591366
3.384091516	2.424833763
0.872131108	0.624916006
1.8029434	1.291879374
2.857797714	2.047723696
1.309743613	0.938482461
7.998853436	5.731490944
3.064752653	2.196014994
7.103658227	5.090048609
1.086639273	0.778619486
10.00844232	7.171439882
2.026606792	1.452142932
3.977231021	2.849841389
2.597720998	1.861368569
1.167882526	0.836833451
3.996276002	2.863487861
2.28250297	1.635502539
1.013398642	0.726139713
3.43833277	2.463699741
