#Naboj INDEKS
0.207344054	1
0.304296651	2
0.371162484	3
0.738116235	4
0.872131108	5
0.97742213	6
1.013398642	7
1.086639273	8
1.130143114	9
1.142676978	10
1.161563964	11
1.167882526	12
1.212430958	13
1.309743613	14
1.342733679	15
1.402800827	16
1.539380061	17
1.602207152	18
1.8029434	19
2.026606792	20
2.080037289	21
2.126202304	22
2.196080134	23
2.28250297	24
2.450548409	25
2.499287715	26
2.499287715	27
2.548345931	28
2.597720998	29
2.639107467	30
2.857797714	31
2.960672368	32
3.064752653	33
3.312218523	34
3.384091516	35
3.43833277	36
3.538518718	37
3.547674002	38
3.977231021	39
3.996276002	40
4.641482462	41
4.681610414	42
4.69166038	43
4.996475901	44
5.027307717	45
5.646343292	46
5.97017736	47
7.103658227	48
7.998853436	49
10.00844232	50
