#Frekvenca  Napetost
#[MHz]   [V]
1 0.544
1.5 0.575
3 0.61
4 0.644
5 0.674
6 0.476
7 0.448
8 0.408
9 0.4
10 0.42
11 0.46
12 0.504
13 0.56
14 0.62
15 0.672
19 0.48
