#Frekvenca  Napetost
#[MHz]   [V]
2 0.488
2.5 0.572
3 0.696
3.5 0.912
4 1.08
4.5 1.28
5 1.49
5.5 1.46
6 1.3
6.5 1.05
7 0.84
8 0.54
