#Frekvenca  Napetost
#[MHz]   [V]
1 0.392
1.5 0.444
2 0.508
2.5 0.584
3 0.696
3.5 0.764
4 0.84
4.5 0.912
5 0.988
5.5 0.904
6 0.840
7 0.688
8 0.552
8.5 0.416
9 0.300
10 0.276
10.5 0.275
11 0.268
12 0.276
13 0.324
14 0.46
15 0.62
19 0.86
