#Frekvenca  Napetost
#[MHz]   [V]
1 0.976
2 0.632
3 0.424
3.5 0.344
4 0.280
4.5 0.190
5 0.154
6 0.128
7 0.192
8 0.322
9 0.464
10 0.672
11 1.14
12 2.88
13 5.08
14 1.67
15 0.92
19 1.64
