#Frekvenca  Napetost
#[MHz]   [V]
2 0.584
2.5 0.664
3 0.840
3.5 1.15
4 1.144
4.5 2.14
5 3.24
5.5 3.5
6 2.16
6.5 1.43
7 1.04
8 0.672
