#Frekvenca  Napetost
#[MHz]   [V]
2 0.584
2.5 0.664
3 0.840
3.5 1.15
4 1.144
4.5 2.14
5 3.24
5.5 3.5
6 2.16
6.5 1.43
7 1.04
8 0.672
9 0.392
9.5 0.342
10 0.24
11 0.087
11.5 0.06
12 0.058
13 0.21
14 0.356
15 0.448
16 0.632
20 0.316
